"","cor","beta","pval_beta","adjp_beta","ratio","iter"
"SGS1"," 0.0783688"," 0.00967317","2.09578e-08"," 4.90780","0.931731"," 59"
"CIN5","-0.0781485","-0.00610930","2.29567e-08"," 4.86824","0.931758"," 84"
"URM1","-0.0780950","-0.01569257","2.34694e-08"," 4.85865","0.912118"," 85"
"SNF6"," 0.0778048"," 0.01202464","2.64499e-08"," 4.80672","0.851297"," 70"
"MMS22"," 0.0777446"," 0.01416283","2.71125e-08"," 4.79598","0.846075"," 97"
"VAM6"," 0.0773305"," 0.00702530","3.21277e-08"," 4.72227","0.935755"," 62"
"DHH1"," 0.0770772"," 0.01722716","3.56265e-08"," 4.67737","0.914076","163"
"NUP120"," 0.0768338"," 0.01054011","3.93365e-08"," 4.63435","0.899970"," 87"
"JJJ1"," 0.0765706"," 0.00886901","4.37674e-08"," 4.58800","0.855313","178"
"SNF7"," 0.0763516"," 0.01184286","4.78214e-08"," 4.54953","0.927112"," 58"
"KIN3","-0.0762012","-0.00864289","5.08124e-08"," 4.52318","0.939157"," 61"
"YPT6"," 0.0757617"," 0.01571710","6.06309e-08"," 4.44645","0.842757","137"
"INP52","-0.0757103","-0.00924059","6.18942e-08"," 4.43750","0.903233"," 80"
"HUR1"," 0.0751680"," 0.01127335","7.68576e-08"," 4.34346","0.847305"," 82"
"OCA4"," 0.0750734"," 0.00667069","8.00365e-08"," 4.32586","0.908839"," 81"
"CCE1"," 0.0747253"," 0.00950777","9.16148e-08"," 4.26718","0.804838","209"
"SMI1"," 0.0745859"," 0.00712937","9.68035e-08"," 4.24326","0.928648"," 74"
"EAF1"," 0.0744770"," 0.01586621","1.01058e-07"," 4.22458","0.824462","249"
"NHP10"," 0.0731033"," 0.00742842","1.72907e-07"," 3.99133","0.877826"," 87"
"RAS2"," 0.0730780"," 0.00578795","1.75090e-07"," 3.98589","0.929215"," 65"
"ASC1"," 0.0728994"," 0.01582326","1.87099e-07"," 3.95708","0.895988","116"
"TRM10","-0.0727614","-0.00938448","1.97340e-07"," 3.93393","0.873170"," 61"
"ARG82"," 0.0726979"," 0.01452151","2.02235e-07"," 3.92329","0.902568"," 66"
"CDC73"," 0.0724646"," 0.01733955","2.21228e-07"," 3.88431","0.869265","115"
"YVH1"," 0.0724562"," 0.01748262","2.21949e-07"," 3.88290","0.901770","152"
"LEA1"," 0.0719876"," 0.00986805","2.65589e-07"," 3.80494","0.913605","109"
"IES3"," 0.0713765"," 0.00924852","3.35087e-07"," 3.70399","0.899235"," 65"
"RGP1"," 0.0712281"," 0.01536736","3.54444e-07"," 3.67960","0.868587","102"
"TCO89"," 0.0712108"," 0.01077596","3.56772e-07"," 3.67676","0.878222"," 82"
"RAI1"," 0.0711296"," 0.01335127","3.67892e-07"," 3.66343","0.869072","100"
"TUB3"," 0.0710896"," 0.01078503","3.73487e-07"," 3.65687","0.898755"," 89"
"HSC82"," 0.0709129"," 0.00712147","3.99202e-07"," 3.62796","0.925147","125"
"SWI6"," 0.0709113"," 0.01316536","3.99449e-07"," 3.62769","0.831557","129"
"CAF40"," 0.0706240"," 0.00845112","4.44995e-07"," 3.58079","0.886894","175"
"RCM1","-0.0706149","-0.01056805","4.46509e-07"," 3.57932","0.917914","169"
"CAC2","-0.0700520","-0.00986538","5.51016e-07"," 3.48798","0.850235"," 68"
"BUR2"," 0.0699636"," 0.02309649","5.69445e-07"," 3.47370","0.895108","210"
"VPS4"," 0.0695253"," 0.00886324","6.69888e-07"," 3.40315","0.935486","122"
"RAD52"," 0.0692025"," 0.01108775","7.54576e-07"," 3.35145","0.875619"," 99"
"SNF2"," 0.0685146"," 0.01077502","9.70755e-07"," 3.24204","0.906117"," 43"
"DUN1"," 0.0684610"," 0.00651234","9.89911e-07"," 3.23355","0.895240"," 67"
"VPS71"," 0.0673313"," 0.00743502","1.48904e-06"," 3.05624","0.891771","148"
"BUD22"," 0.0670977"," 0.01117935","1.61896e-06"," 3.01991","0.904310","148"
