ID,Physical interaction
YCL038C,16.0
YCL039W,18.0
YCL040W,25.0
YCL041C,
YCL042W,7.0
YCL043C,43.0
YCL044C,80.0
YCL045C,43.0
YCL046W,
YCL047C,5.0
YCL048W,20.0
YCL048W-A,1.0
YCL049C,6.0
YCL050C,21.0
YCL051W,25.0
YCL052C,24.0
YCL053C,
YCL054W,33.0
YCL054W-A,
YCL055W,18.0
YCL056C,19.0
YCL057C-A,10.0
YCL057W,6.0
YCL058C,
YCL058W-A,
YCL059C,78.0
YCL060C,
YCL061C,243.0
YCL062W,
YCL063W,47.0
YCL064C,17.0
YCL065W,
YCL066W,2.0
YCL067C,2.0
YCL068C,1.0
YCL069W,4.0
YCL073C,2.0
YCL074W,
YCL075W,
YCL076W,
YCR001W,
YCR002C,62.0
YCR003W,6.0
YCR004C,14.0
YCR005C,25.0
YCR006C,
YCR007C,16.0
YCR008W,76.0
YCR009C,350.0
YCR010C,7.0
YCR011C,21.0
YCR012W,57.0
YCR013C,
YCR014C,18.0
YCR015C,7.0
YCR016W,50.0
YCR017C,63.0
YCR018C,7.0
YCR018C-A,
YCR019W,10.0
YCR020C,10.0
YCR020CA,
YCR020C-A,41.0
YCR020WB,
YCR020W-B,32.0
YCR021C,19.0
YCR022C,
YCR023C,9.0
YCR024C,22.0
YCR024CA,
YCR024C-A,30.0
YCR024C-B,2.0
YCR025C,
YCR026C,14.0
YCR027C,16.0
YCR028C,34.0
YCR028CA,
YCR028C-A,144.0
YCR029C,
YCR029C-A,
YCR030C,43.0
YCR031C,73.0
YCR032W,81.0
YCR033W,233.0
YCR034W,201.0
YCR035C,27.0
YCR036W,35.0
YCR037C,20.0
YCR038C,11.0
YCR038W-A,
YCR039C,9.0
YCR040W,3.0
YCR041W,
YCR042C,27.0
YCR043C,15.0
YCR044C,171.0
YCR045C,4.0
YCR045W-A,
YCR046C,25.0
YCR047C,10.0
YCR047W-A,
YCR048W,51.0
YCR049C,
YCR050C,7.0
YCR051W,12.0
YCR052W,107.0
YCR053W,282.0
YCR054C,2.0
YCR055C,
YCR056W,
YCR057C,34.0
YCR058C,
YCR059C,12.0
YCR060W,30.0
YCR061W,41.0
YCR062W,
YCR063W,176.0
YCR064C,
YCR065W,148.0
YCR066W,113.0
YCR067C,32.0
YCR068W,47.0
YCR069W,5.0
YCR070W,
YCR071C,25.0
YCR072C,32.0
YCR073C,26.0
YCR073WA,
YCR073W-A,33.0
YCR074C,
YCR075C,23.0
YCR075W-A,1.0
YCR076C,23.0
YCR077C,343.0
YCR079W,55.0
YCR080W,
YCR081C-A,
YCR081W,119.0
YCR082W,25.0
YCR083W,19.0
YCR084C,50.0
YCR085W,
YCR086W,189.0
YCR087C-A,13.0
YCR087W,
YCR088W,53.0
YCR089W,26.0
YCR090C,39.0
YCR091W,27.0
YCR092C,23.0
YCR093W,58.0
YCR094W,34.0
YCR095C,46.0
YCR095W-A,
YCR096C,1.0
YCR097W,8.0
YCR097WA,
YCR097W-A,
YCR097WB,
YCR098C,10.0
YCR099C,5.0
YCR100C,11.0
YCR101C,10.0
YCR102C,17.0
YCR102WA,
YCR102W-A,
YCR103C,
YCR104W,2.0
YCR105W,13.0
YCR106W,20.0
YCR107W,4.0
YCR108C,
YDL001W,43.0
YDL002C,226.0
YDL003W,35.0
YDL004W,10.0
YDL005C,96.0
YDL006W,339.0
YDL007C-A,
YDL007W,76.0
YDL008W,30.0
YDL009C,
YDL010W,12.0
YDL011C,
YDL012C,9.0
YDL013W,339.0
YDL014W,203.0
YDL015C,36.0
YDL016C,
YDL017W,26.0
YDL018C,17.0
YDL019C,35.0
YDL020C,332.0
YDL021W,6.0
YDL022C-A,
YDL022W,38.0
YDL023C,
YDL024C,10.0
YDL025C,35.0
YDL025W-A,
YDL026W,
YDL027C,9.0
YDL028C,38.0
YDL029W,75.0
YDL030W,45.0
YDL031W,37.0
YDL032W,
YDL033C,143.0
YDL034W,
YDL035C,21.0
YDL036C,16.0
YDL037C,5.0
YDL038C,
YDL039C,27.0
YDL040C,58.0
YDL041W,
YDL042C,134.0
YDL043C,37.0
YDL044C,11.0
YDL045C,2.0
YDL045WA,
YDL045W-A,15.0
YDL046W,7.0
YDL047W,70.0
YDL048C,19.0
YDL049C,6.0
YDL050C,
YDL051W,65.0
YDL052C,41.0
YDL053C,59.0
YDL054C,18.0
YDL055C,69.0
YDL056W,76.0
