ID,Protein half life
YDR178W,349.8
YDR179C,455.9
YDR179WA,
YDR179W-A,
YDR180W,366.0
YDR181C,617.4
YDR182W,283.8
YDR182W-A,
YDR183C-A,
YDR183W,460.4
YDR184C,20.6
YDR185C,58.3
YDR186C,121.9
YDR187C,
YDR188W,600.0
YDR189W,595.6
YDR190C,549.9
YDR191W,698.5
YDR192C,520.0
YDR193W,
YDR194C,416.3
YDR194W-A,
YDR195W,384.5
YDR196C,820.0
YDR197W,
YDR198C,477.3
YDR199W,
YDR200C,
YDR201W,480.5
YDR202C,470.4
YDR203W,
YDR204W,503.0
YDR205W,
YDR206W,483.5
YDR207C,612.7
YDR208W,213.3
YDR209C,
YDR210C-C,
YDR210C-D,
YDR210W,772.2
YDR210W-A,
YDR210W-B,
YDR211W,663.8
YDR212W,596.6
YDR213W,
YDR214W,1062.6
YDR215C,
YDR216W,152.8
YDR217C,104.6
YDR218C,
YDR219C,102.5
YDR220C,
YDR221W,346.9
YDR222W,117.6
YDR223W,
YDR224C,631.6
YDR225W,
YDR226W,730.2
YDR227W,266.6
YDR228C,443.0
YDR229W,284.3
YDR230W,
YDR231C,556.2
YDR232W,520.7
YDR233C,579.8
YDR234W,630.8
YDR235W,860.3
YDR236C,96.9
YDR237W,433.1
YDR238C,686.8
YDR239C,
YDR240C,
YDR241W,
YDR242W,
YDR243C,353.7
YDR244W,148.2
YDR245W,535.4
YDR246W,542.7
YDR246W-A,
YDR247W,113.2
YDR248C,634.3
YDR249C,
YDR250C,
YDR251W,489.9
YDR252W,
YDR253C,
YDR254W,
YDR255C,603.8
YDR256C,
YDR257C,544.3
YDR258C,2685.4
YDR259C,
YDR260C,
YDR261C,280.0
YDR261C-C,
YDR261C-D,
YDR261W-A,
YDR261W-B,
YDR262W,59.5
YDR263C,
YDR264C,602.6
YDR265W,619.8
YDR266C,467.4
YDR267C,577.9
YDR268W,586.4
YDR269C,
YDR270W,
YDR271C,
YDR272W,429.7
YDR273W,
YDR274C,
YDR275W,
YDR276C,
YDR277C,
YDR278C,
YDR279W,585.6
YDR280W,545.2
YDR281C,
YDR282C,
YDR283C,666.8
YDR284C,1724.5
YDR285W,
YDR286C,
YDR287W,487.9
YDR288W,430.0
YDR289C,504.8
YDR290W,
YDR291W,804.4
YDR292C,594.1
YDR293C,678.4
YDR294C,511.3
YDR295C,562.9
YDR296W,417.3
YDR297W,390.6
YDR298C,434.9
YDR299W,502.0
YDR300C,652.6
YDR301W,731.8
YDR302W,
YDR303C,551.3
YDR304C,642.9
YDR305C,561.2
YDR306C,
YDR307W,
YDR308C,316.7
YDR309C,30.1
YDR310C,545.9
YDR311W,489.1
YDR312W,589.3
YDR313C,119.1
YDR314C,
YDR315C,
YDR316W,462.5
YDR316W-A,
YDR316W-B,
YDR317W,
YDR318W,275.3
YDR319C,
YDR320C,574.7
YDR320C-A,
YDR320W-B,
YDR321W,650.9
YDR322CA,
YDR322C-A,407.7
YDR322W,552.4
YDR323C,522.6
YDR324C,632.7
YDR325W,300.7
YDR326C,152.8
YDR327W,
YDR328C,635.5
YDR329C,508.8
YDR330W,400.8
YDR331W,
YDR332W,800.7
YDR333C,578.1
YDR334W,461.2
YDR335W,
YDR336W,
YDR337W,429.5
YDR338C,
YDR339C,608.5
YDR340W,
YDR341C,625.5
YDR342C,76.0
YDR343C,76.0
YDR344C,
YDR345C,378.7
YDR346C,571.5
YDR347W,510.2
YDR348C,505.6
YDR349C,
YDR350C,
YDR351W,148.1
YDR352W,
YDR353W,464.1
YDR354C-A,
YDR354W,858.6
YDR355C,
YDR356W,390.0
YDR357C,
YDR358W,558.6
YDR359C,424.0
YDR360W,
YDR361C,633.3
YDR362C,550.2
YDR363W,739.4
YDR363WA,
YDR363W-A,475.8
YDR364C,
YDR365C,564.2
YDR365W-B,
YDR366C,
YDR367W,862.4
YDR368W,806.2
YDR369C,31.0
YDR370C,174.4
YDR371C-A,
YDR371W,391.3
YDR372C,571.4
YDR373W,264.4
YDR374C,
YDR374W-A,
YDR375C,337.9
YDR376W,549.7
YDR377W,374.0
YDR378C,
YDR379C-A,
YDR379W,413.6
YDR380W,
YDR381C-A,309.7
YDR381W,618.2
YDR382W,574.5
YDR383C,
YDR384C,56.3
YDR385W,593.3
YDR386W,
YDR387C,
YDR388W,592.0
YDR389W,328.9
YDR390C,547.2
YDR391C,437.4
YDR392W,503.8
YDR393W,
YDR394W,541.9
YDR395W,639.9
YDR396W,
YDR397C,412.6
YDR398W,521.0
YDR399W,738.3
YDR400W,682.8
YDR401W,
YDR402C,
YDR403W,
YDR404C,696.0
YDR405W,
YDR406W,485.2
YDR406W-A,
YDR407C,592.8
YDR408C,515.5
YDR409W,447.6
YDR410C,
YDR411C,339.1
YDR412W,421.2
YDR413C,
YDR414C,
YDR415C,290.2
YDR416W,477.6
