,prob,cor,cor_sd,beta,beta_sd,pval_beta,pval_beta_sd,adjp_beta,adjp_beta_sd,ratio,ratio_sd
SKY1,0.7,-0.15059,9.759e-08,-0.040591,3.916e-08,2.480e-10,5.769e-15, 6.815,9.853e-04,0.06786,7.559e-08
MDM30,0.2,-0.12657,0.000e+00,-0.032992,7.071e-09,5.457e-10,2.828e-15, 6.472,4.950e-04,0.08404,0.000e+00
HAP4,0.5,-0.10930,0.000e+00,-0.034448,3.647e-08,5.811e-10,1.264e-14, 6.445,3.232e-04,0.05258,5.477e-08
RPD3,0.5,-0.10668,5.367e-07,-0.065271,6.453e-07,5.931e-10,1.088e-13, 6.436,6.620e-04,0.16384,2.225e-06
SSN2,0.2,-0.12110,7.071e-08,-0.075018,2.828e-08,6.270e-10,2.828e-15, 6.413,1.492e-03,0.11804,1.414e-07
RCY1,0.1,-0.12684,       NA,-0.061113,       NA,8.305e-10,       NA, 6.289,       NA,0.12431,       NA
PFK2,0.2,-0.12025,7.071e-08,-0.060870,4.950e-08,8.749e-10,2.192e-14, 6.268,1.011e-03,0.13442,7.071e-08
SNF5,0.7,-0.08353,0.000e+00,-0.060693,3.994e-08,1.269e-09,1.704e-14, 6.106,8.141e-04,0.11597,7.868e-08
HOS4,1.0,-0.09792,2.611e-02,-0.020371,1.878e-02,1.863e-09,1.603e-09,15.076,1.208e+01,0.58555,4.335e-01
RGP1,0.4,-0.10382,5.000e-08,-0.055891,2.217e-08,2.020e-09,1.708e-14, 5.904,1.203e-03,0.16642,9.574e-08
SSN8,0.2,-0.12671,0.000e+00,-0.079162,1.414e-08,2.699e-09,7.071e-15, 5.778,9.970e-04,0.11964,0.000e+00
SRP40,0.5, 0.12812,5.477e-08, 0.029943,1.581e-08,2.912e-09,3.317e-14, 5.745,6.267e-04,0.11115,1.000e-07
SAC3,0.6,-0.12683,5.164e-08,-0.046144,4.535e-08,4.029e-09,8.786e-14, 5.604,7.333e-04,0.13215,1.265e-07
RNR4,1.0,-0.11127,3.615e-02,-0.038470,2.597e-02,4.119e-09,4.342e-09, 8.287,3.155e+00,0.49852,3.823e-01
DCC1,1.0,-0.09667,1.046e-02,-0.015586,8.377e-03,5.982e-09,7.477e-09, 6.175,9.746e-01,0.57315,3.763e-01
URE2,0.7,-0.09812,0.000e+00,-0.044756,2.690e-08,8.011e-09,8.789e-14, 5.306,9.791e-04,0.08570,7.868e-08
SMI1,0.2,-0.13095,0.000e+00,-0.030717,0.000e+00,9.120e-09,0.000e+00, 5.250,0.000e+00,0.08359,0.000e+00
CKB2,1.0,-0.07322,1.381e-02,-0.040709,1.493e-02,9.468e-09,4.990e-09, 6.076,1.981e+00,0.25267,3.475e-01
NBP2,0.5,-0.12901,0.000e+00,-0.040650,1.095e-08,1.115e-08,4.472e-14, 5.162,8.614e-04,0.09489,5.477e-08
INO2,0.3,-0.10411,0.000e+00,-0.061795,5.774e-09,1.953e-08,5.774e-14, 4.918,7.050e-04,0.14014,5.774e-08
SNF7,0.4,-0.10166,5.774e-08,-0.060136,6.021e-08,2.016e-08,3.594e-13, 4.905,1.208e-03,0.08312,9.574e-08
NPT1,0.7,-0.07298,0.000e+00,-0.005311,0.000e+00,2.348e-08,0.000e+00, 4.839,9.854e-04,0.92396,5.774e-08
NCS6,0.4,-0.11584,5.000e-08,-0.029303,1.500e-08,2.939e-08,2.872e-13, 4.741,6.983e-04,0.14850,1.000e-07
CCE1,0.4,-0.11272,3.268e-06,-0.026087,8.951e-07,3.150e-08,2.490e-11, 4.711,1.517e-03,0.23766,7.251e-06
SWA2,0.3,-0.10081,0.000e+00,-0.058439,1.000e-08,3.877e-08,1.000e-13, 4.621,1.468e-03,0.17571,0.000e+00
AZF1,0.6,-0.09985,4.082e-08,-0.019542,1.506e-08,4.127e-08,6.186e-13, 4.594,9.309e-04,0.11480,1.095e-07
HOS3,0.6,-0.04793,5.477e-08,-0.024825,2.137e-08,4.466e-08,7.746e-13, 4.560,9.637e-04,0.06550,5.477e-08
FKS1,0.3,-0.10763,0.000e+00,-0.037954,5.774e-09,5.009e-08,3.786e-13, 4.510,5.774e-06,0.14122,1.155e-07
STB5,0.5,-0.11432,4.472e-08,-0.043759,1.095e-08,5.250e-08,1.414e-13, 4.489,7.696e-04,0.13856,7.071e-08
SER2,0.1,-0.11954,       NA,-0.023457,       NA,5.788e-08,       NA, 4.447,       NA,0.08156,       NA
GCN5,0.5,-0.07299,0.000e+00,-0.053874,1.342e-08,5.867e-08,5.477e-14, 4.441,1.046e-03,0.12427,8.367e-08
SWM1,0.1,-0.11222,       NA,-0.025947,       NA,5.910e-08,       NA, 4.438,       NA,0.09771,       NA
YPT6,0.2,-0.10104,7.071e-08,-0.049678,2.828e-08,5.963e-08,7.778e-13, 4.435,9.899e-04,0.19004,1.414e-07
RAD50,0.1,-0.10418,       NA,-0.039640,       NA,6.467e-08,       NA, 4.398,       NA,0.11427,       NA
YAF9,0.4,-0.10228,5.774e-08,-0.028504,1.500e-08,6.638e-08,7.681e-13, 4.388,8.894e-04,0.15272,9.574e-08
HFM1,0.3,-0.10443,5.774e-08,-0.030154,1.155e-08,6.688e-08,2.082e-13, 4.384,8.141e-04,0.11387,5.774e-08
ADA2,0.8,-0.09114,1.414e-07,-0.052366,4.580e-07,7.137e-08,7.677e-12, 4.356,9.233e-04,0.15600,2.075e-06
LEO1,0.4,-0.09296,5.000e-08,-0.030360,3.862e-08,7.939e-08,1.936e-12, 4.309,6.790e-04,0.09439,9.574e-08
NPL3,0.1,-0.10894,       NA,-0.061546,       NA,8.080e-08,       NA, 4.302,       NA,0.15862,       NA
YGR122W,0.5,-0.08250,4.472e-08,-0.044623,2.881e-08,8.749e-08,8.468e-13, 4.268,8.635e-04,0.05271,0.000e+00
GPG1,0.6, 0.15704,9.832e-08, 0.024908,2.927e-08,1.042e-07,2.927e-12, 4.192,7.706e-04,0.05133,4.082e-08
RRG9,0.4,-0.10225,1.984e-06,-0.050841,1.342e-06,1.130e-07,5.401e-11, 4.156,1.169e-03,0.17050,5.067e-06
CGI121,0.3, 0.10178,0.000e+00, 0.030770,1.732e-08,1.131e-07,1.155e-12, 4.156,1.410e-03,0.11446,1.155e-07
SWI3,0.6,-0.06830,1.633e-07,-0.054799,5.345e-07,1.355e-07,1.871e-11, 4.078,8.907e-04,0.13106,1.586e-06
MGA2,0.2,-0.09510,0.000e+00,-0.039186,2.121e-08,1.590e-07,1.414e-12, 4.008,0.000e+00,0.13848,1.414e-07
EAF5,0.5,-0.08620,0.000e+00,-0.026087,5.477e-09,1.593e-07,5.477e-13, 4.007,6.300e-04,0.10792,4.472e-08
RCE1,0.9, 0.10486,7.817e-08, 0.020350,1.732e-08,1.711e-07,3.206e-12, 3.976,8.700e-04,0.06214,5.000e-08
SCS2,0.5,-0.09272,0.000e+00,-0.026159,2.608e-08,2.128e-07,2.345e-12, 3.881,6.228e-04,0.06367,8.944e-08
SDC1,0.4,-0.09537,0.000e+00,-0.028262,5.000e-09,2.494e-07,5.000e-13, 3.812,4.041e-04,0.11724,8.165e-08
TPK3,0.7, 0.07256,4.880e-08, 0.025821,3.559e-08,2.718e-07,5.823e-12, 3.775,5.484e-04,0.05962,4.880e-08
THP1,0.4,-0.11339,1.734e-06,-0.048872,1.344e-06,2.740e-07,1.480e-10, 3.771,8.203e-04,0.16334,4.635e-06
CDC26,0.5,-0.12010,0.000e+00,-0.025138,5.477e-09,2.822e-07,3.782e-12, 3.759,8.367e-06,0.09734,1.095e-07
PHO85,0.2,-0.10583,0.000e+00,-0.056757,2.121e-08,3.080e-07,1.414e-12, 3.721,0.000e+00,0.08272,7.071e-08
ELA1,0.2,-0.10460,7.071e-08,-0.020133,7.071e-09,3.246e-07,2.121e-12, 3.698,9.899e-04,0.10181,7.071e-08
EXO1,0.5,-0.09131,4.472e-08,-0.034584,1.581e-08,3.344e-07,1.817e-12, 3.686,7.709e-04,0.06240,4.472e-08
BUD13,0.3, 0.09706,5.774e-08, 0.026083,1.155e-08,3.353e-07,1.732e-12, 3.684,8.083e-04,0.13691,1.155e-07
RIC1,0.6,-0.09260,0.000e+00,-0.033903,1.366e-08,3.530e-07,2.074e-12, 3.662,1.068e-03,0.12068,1.033e-07
RAD52,0.2,-0.09653,0.000e+00,-0.031956,1.414e-08,3.646e-07,1.414e-12, 3.649,9.970e-04,0.13615,1.414e-07
RAM1,0.4,-0.09588,0.000e+00,-0.082713,3.202e-08,3.899e-07,2.000e-12, 3.619,8.841e-04,0.14294,1.000e-07
CSE2,0.7,-0.11467,4.880e-08,-0.045767,3.132e-08,3.999e-07,4.018e-12, 3.608,3.435e-04,0.12162,9.512e-08
SIN3,0.2,-0.08559,0.000e+00,-0.047809,1.414e-08,4.005e-07,1.414e-12, 3.607,5.020e-04,0.17047,1.414e-07
RTT107,0.4,-0.11768,5.774e-08,-0.022174,8.165e-09,4.190e-07,1.291e-12, 3.587,8.112e-04,0.08173,9.574e-08
SCP160,0.5, 0.13574,5.477e-08, 0.018854,1.304e-08,4.322e-07,5.357e-12, 3.574,1.063e-03,0.07807,5.477e-08
ZWF1,1.0,-0.09446,3.000e-02,-0.019848,1.313e-02,4.632e-07,9.015e-08, 3.551,8.551e-02,0.50248,4.485e-01
NRG1,0.2, 0.08207,0.000e+00, 0.021268,0.000e+00,4.750e-07,1.414e-12, 3.532,9.970e-04,0.06268,7.071e-08
UFD4,0.3, 0.09715,2.309e-07, 0.030691,3.089e-07,4.774e-07,5.255e-11, 3.531,4.349e-04,0.07123,8.660e-07
ASK10,0.6,-0.08719,4.082e-08,-0.037420,2.757e-08,4.977e-07,3.670e-12, 3.513,9.622e-04,0.05640,7.528e-08
GRR1,0.3,-0.10028,7.506e-07,-0.077779,6.612e-07,5.343e-07,6.728e-11, 3.481,7.563e-04,0.17647,2.050e-06
CLB1,0.6, 0.11095,9.832e-08, 0.027169,2.805e-08,5.548e-07,9.480e-12, 3.465,6.284e-04,0.07640,8.944e-08
UBP8,1.0,-0.14791,8.428e-02,-0.023956,1.795e-02,6.396e-07,6.742e-07,15.473,1.304e+01,0.49106,3.939e-01
HAP2,0.5,-0.06908,0.000e+00,-0.025619,8.944e-09,6.653e-07,1.673e-12, 3.386,7.668e-04,0.08019,5.477e-08
PTH2,0.6,-0.06983,4.899e-07,-0.023812,4.543e-07,7.014e-07,2.240e-10, 3.364,7.229e-04,0.05709,9.647e-07
OPI3,0.3,-0.08596,1.155e-06,-0.070443,1.585e-06,8.607e-07,2.979e-10, 3.275,1.433e-03,0.24450,7.996e-06
SEM1,0.5,-0.09052,4.472e-08,-0.036055,1.140e-08,9.421e-07,3.782e-12, 3.235,6.295e-04,0.11126,4.472e-08
HHF1,1.0,-0.08918,2.777e-02,-0.010042,5.528e-03,1.061e-06,8.048e-08, 3.185,3.257e-02,0.50252,4.448e-01
SWD3,0.3,-0.09928,0.000e+00,-0.034338,5.774e-09,1.271e-06,0.000e+00, 3.105,0.000e+00,0.11480,5.774e-08
OCA6,0.2, 0.05274,7.071e-08, 0.024651,2.121e-08,1.313e-06,2.121e-11, 3.091,5.020e-04,0.07271,7.071e-08
TSL1,0.2,-0.10274,0.000e+00,-0.034106,1.414e-08,1.473e-06,1.414e-11, 3.041,5.020e-04,0.22394,1.414e-07
SIR4,0.6, 0.09129,0.000e+00, 0.063810,5.046e-08,1.615e-06,1.761e-11, 3.001,6.886e-04,0.05855,5.477e-08
LSM1,0.6,-0.11995,1.211e-07,-0.034956,6.348e-08,1.755e-06,5.367e-11, 2.966,8.824e-04,0.07954,1.211e-07
PUF6,0.5,-0.09980,5.477e-08,-0.025695,2.000e-08,1.809e-06,2.280e-11, 2.952,6.284e-04,0.12291,1.000e-07
YOR338W,0.5,-0.13299,1.643e-07,-0.021675,4.669e-08,1.858e-06,6.419e-11, 2.940,6.217e-04,0.05117,1.140e-07
RAD5,0.6,-0.09068,0.000e+00,-0.024276,1.095e-08,1.933e-06,1.095e-11, 2.924,7.741e-04,0.10739,8.165e-08
