Gene	HL_IB	HL_MS	PP
YBR090C	NA	NA	0.4456
YBR091C	NA	256.4	NA
YBR092C	9.0	NA	1.356
YBR093C	18.0	NA	0.4229
YBR094W	2.0	614.7	1.047
YBR095C	72.0	521.4	0.827
YBR096W	32.0	730.8	NA
YBR097W	2.0	361.4	0.8357
YBR098W	NA	NA	NA
YBR099C	NA	NA	1.024
YBR101C	154.0	577.1	0.779
YBR102C	NA	468.5	NA
YBR103C-A	NA	NA	NA
YBR103W	39.0	341.0	0.6883
YBR104W	16.0	NA	0.6612
YBR105C	NA	NA	0.8094
YBR106W	101.0	389.8	1.918
YBR107C	NA	NA	0.7995
YBR108W	NA	731.2	0.3544
YBR109C	NA	646.7	NA
YBR109W-A	NA	NA	NA
YBR110W	NA	592.3	NA
YBR111C	194.0	489.0	0.5515
YBR111W-A	NA	NA	NA
YBR112C	13.0	627.8	2.686
YBR113W	NA	NA	0.5839
YBR114W	33.0	NA	0.613
YBR115C	117.0	NA	0.6431
YBR116C	NA	NA	1.044
YBR117C	NA	NA	NA
YBR118W	30.0	NA	NA
YBR119W	NA	651.8	0.5897
YBR120C	935.0	398.8	0.8679
YBR121C	44.0	617.4	0.1963
YBR121C-A	NA	NA	NA
YBR122C	28.0	NA	0.4694
YBR123C	22.0	500.0	NA
YBR124W	NA	NA	NA
YBR125C	62.0	582.8	0.5798
YBR126C	NA	541.6	0.9083
YBR126W-A	NA	144.8	NA
YBR126W-B	NA	NA	NA
YBR127C	29.0	577.1	1.034
YBR128C	NA	NA	0.8199
YBR129C	9.0	NA	0.4873
YBR130C	70.0	551.3	0.8573
YBR131C-A	NA	NA	NA
YBR131W	30.0	NA	0.6011
YBR132C	89.0	NA	0.8258
YBR133C	14.0	296.8	1.551
YBR134W	NA	NA	1.409
YBR135W	52.0	NA	NA
YBR136W	NA	449.6	NA
YBR137W	16.0	581.3	0.7553
YBR138C	5.0	NA	0.4893
YBR139W	18.0	489.7	0.4622
YBR140C	NA	387.5	NA
YBR141C	13.0	369.1	0.4014
YBR141W-A	NA	NA	NA
YBR142W	127.0	356.1	NA
YBR143C	62.0	543.3	NA
YBR144C	NA	NA	0.3669
YBR145W	NA	1200.2	0.5295
YBR146W	NA	281.3	0.4695
YBR147W	NA	NA	0.7675
YBR148W	18.0	NA	0.7325
YBR149W	96.0	540.7	0.7447
YBR150C	73.0	NA	0.4861
YBR151W	55.0	583.5	0.5079
YBR152W	45.0	424.9	NA
YBR153W	NA	NA	NA
YBR154C	NA	599.6	NA
YBR155W	33.0	563.0	NA
YBR156C	13.0	NA	0.7421
YBR157C	NA	NA	0.8929
YBR158W	17.0	23.1	0.5004
YBR159W	988.0	NA	0.5984
YBR160W	NA	622.4	NA
YBR161W	NA	NA	0.399
YBR162C	67.0	236.2	0.5259
YBR162W-A	4.0	601.5	0.2415
YBR163W	27.0	NA	0.4147
YBR164C	NA	648.7	0.7542
YBR165W	NA	NA	0.3287
YBR166C	79.0	599.3	0.6096
YBR167C	66.0	NA	NA
YBR168W	49.0	NA	0.5511
YBR169C	5252.0	770.0	0.2282
YBR170C	29.0	546.0	1.037
YBR171W	NA	629.3	0.4525
YBR172C	19.0	405.1	2.035
YBR173C	17.0	24.6	0.7661
YBR174C	NA	NA	0.6758
YBR175W	1181.0	NA	0.6904
YBR176W	118.0	589.1	0.6461
YBR177C	NA	460.7	0.2471
YBR178W	NA	NA	0.7192
YBR179C	24.0	178.7	1.297
YBR180W	NA	NA	0.8198
YBR181C	NA	NA	0.683
YBR182C	NA	NA	0.8369
YBR182C-A	NA	NA	NA
YBR183W	NA	NA	0.5956
YBR184W	NA	NA	0.4831
YBR185C	187.0	383.5	1.045
YBR186W	NA	NA	0.6051
YBR187W	NA	184.2	0.5305
YBR188C	NA	271.0	0.5523
YBR189W	29.0	646.5	0.5119
YBR190W	NA	NA	NA
YBR191W	NA	867.6	0.8234
YBR191W-A	NA	NA	NA
YBR192W	NA	488.7	NA
YBR193C	NA	489.4	NA
YBR194W	152.0	399.5	2.977
YBR195C	31.0	1026.4	0.9764
YBR196C	540.0	793.0	NA
YBR196C-A	NA	NA	NA
YBR196C-B	NA	NA	NA
YBR197C	93.0	292.5	0.7354
YBR198C	21.0	623.5	NA
YBR199W	12.0	134.1	0.3383
YBR200W	19.0	468.5	3.09
YBR200W-A	NA	NA	NA
YBR201C-A	NA	NA	NA
YBR201W	3.0	562.9	0.2178
YBR202W	NA	100.4	NA
YBR203W	NA	NA	0.5979
YBR204C	NA	863.3	0.4785
YBR205W	17.0	426.4	0.5153
YBR206W	NA	NA	0.4193
YBR207W	60.0	NA	0.3718
YBR208C	45.0	628.4	0.7083
YBR209W	NA	NA	0.8317
YBR210W	NA	NA	0.5486
YBR211C	68.0	601.1	NA
YBR212W	28.0	NA	0.4881
YBR213W	NA	936.1	0.5973
YBR214W	54.0	480.4	0.3598
YBR215W	16.0	456.0	0.7875
YBR216C	23.0	606.0	0.6948
YBR217W	NA	NA	0.3787
YBR218C	40.0	805.8	0.6009
YBR219C	NA	NA	0.7443
YBR220C	NA	313.1	0.9676
YBR221C	72.0	564.5	0.776
YBR221W-A	NA	NA	NA
YBR222C	27.0	752.5	0.5466
YBR223C	NA	412.6	0.878
YBR223W-A	NA	NA	NA
YBR224W	NA	NA	0.5071
YBR225W	9.0	2159.7	0.7071
YBR226C	NA	NA	0.5598
YBR227C	83.0	459.4	0.3118
YBR228W	NA	NA	0.7899
YBR229C	27.0	264.0	1.088
YBR230C	NA	419.5	0.8334
YBR230W-A	NA	NA	NA
YBR231C	22.0	264.8	1.793
YBR232C	NA	NA	0.8006
YBR233W	36.0	338.7	1.258
YBR233W-A	228.0	NA	NA
YBR234C	66.0	698.0	NA
YBR235W	31.0	593.1	1.272
YBR236C	NA	521.9	NA
YBR237W	NA	NA	NA
YBR238C	19.0	100.1	0.4471
YBR239C	16.0	819.2	0.5326
YBR240C	NA	NA	0.6313
YBR241C	86.0	NA	0.7446
YBR242W	33.0	192.1	0.257
YBR243C	NA	NA	NA
YBR244W	168.0	281.9	0.6066
YBR245C	37.0	542.3	0.7511
YBR246W	83.0	498.0	0.5338
YBR247C	35.0	514.8	NA
YBR248C	56.0	903.8	0.523
YBR249C	71.0	833.4	0.4579
YBR250W	NA	NA	0.7446
YBR251W	201.0	466.3	0.4099
YBR252W	NA	667.9	NA
YBR253W	176.0	NA	NA
YBR254C	NA	872.8	NA
YBR255C-A	NA	NA	NA
YBR255W	3.0	723.3	0.7111
