Gene	HL_IB	HL_MS	PP	HL_IB_quantile	HL_IB_pt	HL_MS_quantile	HL_MS_pt
YDR051C	46.0	539.4	0.5347	0.0879329975415462	0.023336126858160514	0.10583255793263792	0.18760754313254868
YDR052C	12.0	375.3	NA	-1.2447784131572894	-1.0812423699420628	-0.7496854625801801	-0.38103460130653294
YDR053W	NA	NA	NA	NA	NA	NA	NA
YDR054C	NA	195.5	NA	NA	NA	-1.4320002908703624	-1.3343696111475314
YDR055W	20.0	112.2	0.5386	-0.8444850779006299	-0.6690678474044145	-1.7983643786264483	-2.0801980466130354
YDR056C	127.0	446.6	0.2551	1.0574850143828458	0.8844158153643088	-0.4176691792124783	-0.11189879998453746
YDR057W	NA	NA	0.4214	NA	NA	NA	NA
YDR058C	NA	NA	0.605	NA	NA	NA	NA
YDR059C	77.0	NA	0.4074	0.6256698215946752	0.4587059907241978	NA	NA
YDR060W	103.0	489.0	NA	0.8827388667011026	0.7059576893411043	-0.1803766849109751	0.031018269780257623
YDR061W	37.0	836.5	0.5617	-0.1701847241123691	-0.15935223485378258	1.4617905689589452	0.9143781956984517
YDR062W	29.0	516.2	NA	-0.4528584793924642	-0.3625193200055658	-0.026348991391809167	0.11716810929065945
YDR063W	NA	1016.7	0.484	NA	NA	1.709871448340321	1.2518013670970176
YDR064W	NA	635.1	NA	NA	NA	0.7337352634076633	0.4530464582498482
YDR065W	31.0	NA	0.8457	-0.3695581856124021	-0.3070510228336964	NA	NA
YDR066C	113.0	NA	0.2717	0.9554714443899567	0.7848627727180889	NA	NA
YDR067C	126.0	878.1	0.4281	1.053106263987631	0.8776748961816049	1.5284985602809786	0.9974825481020283
YDR068W	100.0	544.7	-0.0045780000000000005	0.86072523825827	0.6808009549135338	0.13907689057108488	0.20333175099648926
YDR069C	69.0	NA	1.115	0.5163562651199474	0.3657006057519182	NA	NA
YDR070C	43.0	NA	0.5764	0.0025091400448746387	-0.03335219959238933	NA	NA
YDR071C	47.0	638.9	0.3278	0.11062728256906962	0.04143076365301315	0.7638629446412369	0.4628546330852964
YDR072C	23.0	NA	0.2583	-0.6975071194373863	-0.5543027214506029	NA	NA
YDR073W	30.0	NA	0.3267	-0.41016940620520764	-0.33433772614370716	NA	NA
YDR074W	NA	582.7	0.4532	NA	NA	0.38436757374338903	0.3123580473908132
YDR075W	61.0	NA	0.7172	0.3789773215364033	0.261395626950682	NA	NA
YDR076W	14.0	NA	1.173	-1.1473154975252742	-0.9582528051091819	NA	NA
YDR077W	NA	13.1	0.4055	NA	NA	-2.969284911908776	-4.443416212108074
YDR078C	NA	NA	0.4969	NA	NA	NA	NA
YDR079C-A	NA	375.5	NA	NA	NA	-0.7488957938802416	-0.3802200601911303
YDR079W	15.0	NA	0.6007	-1.1001396710768057	-0.9027843759280856	NA	NA
YDR080W	124.0	333.7	0.5146	1.0379371869749336	0.8640324025865774	-0.9195043590467786	-0.5591987159043306
YDR081C	85.0	529.5	NA	0.72987684762963	0.5426225403970653	0.04408755715549947	0.15787543074294244
YDR082W	NA	NA	NA	NA	NA	NA	NA
YDR083W	81.0	450.4	0.8009999999999999	0.6752774632720802	0.501688063122935	-0.3924920359049867	-0.09862344764794205
YDR084C	NA	479.9	0.308	NA	NA	-0.23820320916983426	0.0012721316239905165
YDR085C	NA	NA	0.7665	NA	NA	NA	NA
YDR086C	NA	40.4	NA	NA	NA	-2.269845532458495	-3.3047783148149517
