"","cor","beta","pval_beta","adjp_beta","ratio","iter"
"GAL11"," 0.4059277"," 0.10870599","1.59295e-236","233.01034","0.822969"," 84"
"UTP30","-0.4055593","-0.04539313","5.09539e-236","232.50536","0.904400"," 63"
"GIS1","-0.4053828","-0.04138211","7.78257e-236","232.32142","0.920988","149"
"SUS1"," 0.4050441"," 0.06372056","2.08270e-235","231.89391","0.882150","124"
"PHO85"," 0.4049540"," 0.07990948","2.70555e-235","231.78028","0.897685"," 89"
"PEX2","-0.4034018","-0.02468711","3.16595e-233","229.71204","0.947689"," 42"
"SPT21"," 0.4026399"," 0.08680686","2.18367e-232","228.87335","0.852284","111"
"UBX2"," 0.4011322"," 0.05362623","1.66239e-230","226.99181","0.890259"," 61"
"CLB5"," 0.3956063"," 0.04334008","1.08071e-223","220.17883","0.893221"," 80"
"SET4","-0.3955773","-0.04107438","1.17242e-223","220.14346","0.875758"," 88"
"BIM1"," 0.3920388"," 0.04175696","2.30928e-219","215.84906","0.882033"," 98"
"TCO89"," 0.3906390"," 0.06023386","1.11639e-217","214.16472","0.877800"," 63"
"VPS25"," 0.3905016"," 0.05359084","1.63152e-217","213.99995","0.900095"," 38"
"SNF5"," 0.3900311"," 0.07856003","5.97915e-217","213.43590","0.891016"," 60"
"EST3"," 0.3895918"," 0.07302476","2.00677e-216","212.91004","0.884278"," 88"
"CAF130"," 0.3893838"," 0.04010375","3.55776e-216","212.66136","0.928190"," 94"
"SSN8"," 0.3864015"," 0.07881454","1.24990e-212","209.11566","0.873755"," 43"
"KAP120"," 0.3858359"," 0.06607023","5.82222e-212","208.44745","0.846819"," 77"
"SNF12"," 0.3828431"," 0.06631892","1.90292e-208","204.93312","0.872426"," 42"
"TFB5"," 0.3805918"," 0.05446774","7.92116e-206","202.31375","0.755676","281"
"VPS9"," 0.3800863"," 0.04496444","3.04898e-205","201.72839","0.941718"," 53"
"SEH1"," 0.3796662"," 0.05764363","9.32887e-205","201.24271","0.925403"," 40"
"VPS36"," 0.3762643"," 0.04473409","7.51845e-201","197.33641","0.895479"," 41"
"IST3"," 0.3757481"," 0.04592730","2.91561e-200","196.74781","0.823285","104"
"LSM1"," 0.3707622"," 0.07083966","1.24595e-194","191.11704","0.925062","132"
"UBA3"," 0.3701291"," 0.03368711","6.35917e-194","190.40914","0.905921","128"
"YKR023W","-0.3688283","-0.04339227","1.79014e-192","188.95965","0.851159"," 70"
"MRN1","-0.3685521","-0.04273346","3.62937e-192","188.65271","0.890990"," 71"
"ASC1"," 0.3669574"," 0.07757794","2.11791e-190","186.88663","0.901487"," 85"
"NFI1"," 0.3645365"," 0.03673158","9.72643e-188","184.22459","0.898958","110"
"KAP123","-0.3645502","-0.04852215","1.00916e-187","184.20858","0.949189"," 81"
"GTR1"," 0.3625691"," 0.03487543","1.36238e-185","182.07824","0.901156"," 36"
"IOC2"," 0.3625565"," 0.03693805","1.40630e-185","182.06446","0.929344"," 69"
"CIN8"," 0.3623884"," 0.03802011","2.14126e-185","181.88187","0.847298"," 78"
"SFP1"," 0.3623847"," 0.10856456","2.16130e-185","181.87782","0.744290","232"
"TUP1"," 0.3621913"," 0.08527609","3.50555e-185","181.66778","0.830730"," 35"
"GPB1","-0.3602594","-0.05063630","4.31493e-183","179.57757","0.930468"," 82"
"PUS1","-0.3601577","-0.04279872","5.55285e-183","179.46802","0.905622"," 62"
"DUN1"," 0.3597623"," 0.03541436","1.48065e-182","179.04209","0.896684"," 52"
"PIB2"," 0.3581555"," 0.03002351","7.84617e-181","177.31788","0.941798"," 71"
"ESC2"," 0.3578325"," 0.04331304","1.73815e-180","176.97245","0.909490"," 57"
"NUT1"," 0.3576380"," 0.04067363","3.00358e-180","176.73490","0.896736"," 63"
"NPL6"," 0.3574132"," 0.07840645","4.87451e-180","176.52461","0.768446","136"
"IES2"," 0.3567913"," 0.06246779","2.24290e-179","175.86173","0.880625","103"
"SCS2"," 0.3565215"," 0.03284249","4.65072e-179","175.54502","0.939213"," 78"
"EAF7"," 0.3563848"," 0.05177045","6.07301e-179","175.42914","0.889116"," 74"
"EDE1"," 0.3543094"," 0.03440394","1.02517e-176","173.20174","0.880787"," 79"
"HOM2"," 0.3539751"," 0.04048630","2.30860e-176","172.84919","0.902066"," 62"
"JHD2","-0.3535272","-0.03012484","6.39695e-176","172.40657","0.922664","118"
"ELF1"," 0.3526423"," 0.06376460","5.43912e-175","171.47701","0.923733","192"
"IRC25"," 0.3524263"," 0.04228416","9.16418e-175","171.25045","0.836387","100"
"UBR2"," 0.3513250"," 0.04910375","1.29999e-173","170.09860","0.789861","450"
"GPH1","-0.3512888","-0.03176359","1.41814e-173","170.06082","0.881191"," 75"
"UFD4","-0.3511255","-0.02985464","2.39536e-173","169.83317","0.932666"," 51"
"LSM12","-0.3506143","-0.03405041","8.16407e-173","169.30063","0.943866"," 60"
"INP52","-0.3503057","-0.04307778","1.49983e-172","169.03650","0.899317"," 84"
"CLB1","-0.3492355","-0.02981405","2.06586e-171","167.89744","0.920274"," 55"
"TRX2","-0.3491341","-0.02487868","2.63090e-171","167.79244","0.918099"," 42"
"UBC4"," 0.3475203"," 0.05963120","1.14340e-169","166.15434","0.925988","112"
"SKY1"," 0.3469850"," 0.04520408","4.33061e-169","165.57599","0.942832"," 77"
"CTK1"," 0.3449004"," 0.09461744","5.52515e-167","163.47020","0.702891","159"
"RSC30"," 0.3436238"," 0.04566989","1.17030e-165","162.14424","0.844371","115"
"CIN5","-0.3433492","-0.02700860","2.08701e-165","161.89301","0.934726"," 82"
"RSA1","-0.3431970","-0.07111347","2.97714e-165","161.73874","0.849463","182"
"CDH1"," 0.3413655"," 0.03256400","2.10546e-163","159.88919","0.883413"," 73"
"PFK1"," 0.3412613"," 0.05398681","2.68022e-163","159.78437","0.938245","103"
"DOA4"," 0.3406488"," 0.05923111","1.10570e-162","159.16890","0.856063","126"
"HST1","-0.3388849","-0.03740324","6.43363e-161","157.40408","0.940190"," 25"
"SAC3"," 0.3384915"," 0.06521459","1.58682e-160","157.01201","0.866671","125"
"YBP2"," 0.3382293"," 0.02487393","3.07514e-160","156.72467","0.883523"," 52"
"MUB1"," 0.3381878"," 0.03423945","3.18192e-160","156.70985","0.895586","101"
"LOC1","-0.3361405","-0.03593364","4.32227e-158","154.57683","0.949224"," 38"
"VPS24"," 0.3360287"," 0.02837315","4.65353e-158","154.54476","0.896795"," 65"
"SSK2","-0.3348567","-0.02784656","6.63029e-157","153.39101","0.912338"," 64"
"WSS1"," 0.3342136"," 0.03422913","2.67077e-156","152.78590","0.935489"," 68"
"SWI4"," 0.3341369"," 0.04315942","3.17539e-156","152.71074","0.866346"," 85"
"ELC1"," 0.3334220"," 0.02571217","1.58968e-155","152.01123","0.903929"," 73"
"SPP1","-0.3320405","-0.03875722","3.53001e-154","150.66476","0.902516","144"
"ELA1"," 0.3312724"," 0.02717049","1.96519e-153","149.91914","0.894121"," 70"
"BCS1"," 0.3305978"," 0.03470997","8.83949e-153","149.26611","0.933244","242"
"VAM3"," 0.3285527"," 0.02537042","8.24451e-151","147.29637","0.935347"," 93"
"PCL8","-0.3279085","-0.02722087","3.61623e-150","146.65428","0.892189"," 68"
"ADA2"," 0.3272446"," 0.07069562","1.47277e-149","146.04441","0.848932","105"
"CDC40"," 0.3264814"," 0.07590429","7.86614e-149","145.31678","0.868768","159"
"CAF40"," 0.3264776"," 0.03887231","7.93280e-149","145.31311","0.883192","175"
"DAL81"," 0.3258783"," 0.03835638","2.94613e-148","144.74329","0.792480","192"
"MKK2","-0.3249860","-0.02787931","2.06691e-147","143.89722","0.912861","148"
"SAC1"," 0.3216358"," 0.02995465","3.09180e-144","140.72233","0.873715"," 56"
"PPH3","-0.3215314","-0.03429699","3.66438e-144","140.64854","0.885082","121"
"YKU80"," 0.3195199"," 0.02235080","2.72931e-142","138.77649","0.893444"," 69"
"PAT1"," 0.3194478"," 0.07088364","3.18327e-142","138.70967","0.925933","112"
"KKQ8","-0.3192066","-0.02363971","5.32551e-142","138.48618","0.892903"," 88"
"PTH2"," 0.3187921"," 0.02362652","1.35862e-141","138.07944","0.939082"," 47"
"NEW1"," 0.3187919"," 0.03637866","1.35930e-141","138.07922","0.922375"," 87"
"IES6"," 0.3187597"," 0.08606868","1.37973e-141","138.07275","0.820512","133"
"OCA4"," 0.3172440"," 0.02881305","3.62925e-140","136.65272","0.924117"," 82"
"MEI5","-0.3158477","-0.02674579","6.90940e-139","135.37310","0.897510"," 59"
"DPB3"," 0.3150671"," 0.02973630","3.38060e-138","134.68355","0.894859","110"
"SOK2"," 0.3147833"," 0.03079888","6.13007e-138","134.42507","0.870518"," 63"
"AZF1","-0.3146520","-0.02790745","8.07240e-138","134.30554","0.893000","127"
"VPS28"," 0.3146479"," 0.03130443","8.14127e-138","134.30185","0.906725"," 40"
"MIG1","-0.3135807","-0.02926519","7.57979e-137","133.33288","0.893738"," 90"
"CLB2"," 0.3135486"," 0.02439669","8.53726e-137","133.28122","0.890901"," 85"
"CCR4"," 0.3134926"," 0.07419140","9.10926e-137","133.25306","0.675814","153"
"THR4"," 0.3125166"," 0.03440609","6.94798e-136","132.37068","0.913723"," 56"
"SNT309"," 0.3098933"," 0.05397405","1.57418e-133","130.01548","0.807015","190"
"RXT3"," 0.3096231"," 0.07868977","2.74314e-133","129.77429","0.221039","274"
"YBR285W","-0.3069147","-0.03890736","6.95144e-131","127.37046","0.887945"," 96"
"UFD2"," 0.3066254"," 0.03259437","1.31493e-130","127.09364","0.934162"," 56"
"VPS16"," 0.3036931"," 0.06965343","4.66025e-128","124.54413","0.855392","108"
"NUP120"," 0.3029465"," 0.04190831","2.08087e-127","123.89430","0.887397","139"
"RAI1"," 0.3020659"," 0.05388629","1.20863e-126","123.13024","0.824858","152"
"SMI1"," 0.3019410"," 0.02839382","1.62647e-126","123.00129","0.920843"," 55"
"BUD20"," 0.3014043"," 0.03278968","4.51433e-126","122.55795","0.892791","104"
"PBA1"," 0.3002533"," 0.02313167","4.43204e-125","121.56594","0.939868"," 77"
"ISW1"," 0.3002442"," 0.03053113","4.73102e-125","121.53759","0.881852"," 56"
"URN1","-0.2994767","-0.03312198","2.05786e-124","120.89912","0.858266","104"
"MDS3","-0.2992344","-0.04341283","3.31937e-124","120.69148","0.867096"," 69"
"YIL001W"," 0.2974869"," 0.02098173","1.02898e-122","119.20013","0.949597"," 78"
"SFL1","-0.2970901","-0.03737402","2.23674e-122","118.86292","0.901612","131"
"SNF2"," 0.2963317"," 0.04769516","9.83292e-122","118.21986","0.899144"," 36"
"GPG1","-0.2959565","-0.03103439","2.04202e-121","117.90248","0.934545","174"
"SRB8"," 0.2950666"," 0.06167928","1.15065e-120","117.15160","0.881194"," 63"
"VPS1"," 0.2940360"," 0.04036890","8.45555e-120","116.28540","0.882992","102"
"YIL014C-A","-0.2939354","-0.02009872","1.02679e-119","116.20106","0.938710"," 55"
"BUR2"," 0.2935508"," 0.09078356","2.15621e-119","115.87885","0.836473","285"
"IES5"," 0.2935214"," 0.02627008","2.38752e-119","115.83459","0.874124"," 69"
"LEA1"," 0.2924514"," 0.03848359","1.78643e-118","114.96055","0.891121"," 99"
"VPS27"," 0.2923928"," 0.03677825","1.99902e-118","114.91172","0.939770"," 92"
"LEO1"," 0.2922077"," 0.03809764","2.85105e-118","114.75753","0.911234","127"
"DCS1"," 0.2920390"," 0.02497705","4.11978e-118","114.59767","0.902875"," 64"
"MKS1"," 0.2899588"," 0.03124749","2.08425e-116","112.89359","0.934040"," 51"
"GCR2"," 0.2884217"," 0.04406136","3.82937e-115","111.62941","0.870725"," 97"
"OCA5"," 0.2868438"," 0.02512394","7.45982e-114","110.33981","0.905083"," 92"
"MOT2"," 0.2867676"," 0.11016533","8.60456e-114","110.27781","0.802924","278"
"RAD27"," 0.2864022"," 0.04313334","1.70649e-113","109.98044","0.873369","104"
"MED1"," 0.2862563"," 0.04201797","2.24255e-113","109.86180","0.876398"," 53"
"ELP2"," 0.2850824"," 0.04920065","2.00629e-112","108.91015","0.944314","150"
"NOP12"," 0.2846625"," 0.03168963","4.38177e-112","108.57089","0.903773"," 95"
"HFI1"," 0.2840260"," 0.07732497","1.42839e-111","108.05769","0.822219"," 45"
"UBP14"," 0.2837675"," 0.02108692","2.30621e-111","107.84964","0.914972"," 56"
"GPB2","-0.2811222","-0.02912592","3.14097e-109","105.71548","0.898832"," 58"
"DBR1"," 0.2796016"," 0.03039648","4.84283e-108","104.52744","0.923032"," 82"
"DAT1","-0.2785078","-0.02538425","3.53100e-107","103.66464","0.909598","100"
"SKO1","-0.2782195","-0.02586856","5.95164e-107","103.43790","0.898793"," 80"
"IES3"," 0.2775527"," 0.03546031","1.98622e-106","102.91451","0.878305"," 78"
"BRO1"," 0.2770979"," 0.03287816","4.51031e-106","102.55833","0.922667"," 85"
"NOT3"," 0.2757055"," 0.03588363","5.50037e-105","101.47215","0.839971","170"
"HAL9"," 0.2743036"," 0.01989394","6.72334e-104","100.38495","0.927212"," 58"
"CTF19"," 0.2736530"," 0.01898890","2.13758e-103"," 99.88262","0.930121"," 69"
"UBP10"," 0.2735223"," 0.04646246","2.69607e-103"," 99.78181","0.828667","135"
"SPT20"," 0.2733950"," 0.07371141","3.37883e-103"," 99.68377","0.814197"," 73"
"PTC4","-0.2731079","-0.02152497","5.84332e-103"," 99.44588","0.949861"," 58"
"ELP4","-0.2730066","-0.04245484","6.72476e-103"," 99.38486","0.888581","116"
"DLS1"," 0.2726429"," 0.02535333","1.27991e-102"," 99.10536","0.922499"," 78"
"KSP1","-0.2715333","-0.02549150","9.41369e-102"," 98.23878","0.907673"," 66"
"MRC1"," 0.2709776"," 0.02499995","2.40578e-101"," 97.83128","0.865285"," 79"
"NHP10"," 0.2653484"," 0.02732868"," 4.18446e-97"," 93.59090","0.863985"," 82"
"YPK3","-0.2647890","-0.02597855"," 1.08995e-96"," 93.17513","0.901803","149"
"YKU70"," 0.2639468"," 0.01557407"," 4.75612e-96"," 92.53529","0.878163"," 36"
"HDA3"," 0.2629956"," 0.02732037"," 2.31026e-95"," 91.84888","0.903783"," 58"
"CTI6","-0.2617020","-0.03661620"," 2.06023e-94"," 90.89862","0.873294"," 79"
"YHR003C","-0.2610166","-0.03757358"," 6.53490e-94"," 90.39730","0.839455"," 76"
"HTL1"," 0.2600010"," 0.03891349"," 3.59191e-93"," 89.65721","0.803991","110"
