,lambda_1,int_1,beta_1,sigma_1,lambda_2,int_2,beta_2,sigma_2,conv
GPG1,0.0641803232898209,-0.151542793440786,0.0178733810140157,0.248817259602665,0.935819676710179,0.00895620910110689,-0.000535871807363883,0.108285700303348,Y
GPH1,0.0891468977698671,-0.20418797574348,-0.0200123699064172,0.364204654268617,0.910853102230133,0.00137761325239005,0.00711763504049301,0.0894007367473931,Y
GIS4,0.0616523082075601,0.159400303773006,0.0105700881469681,0.35873049786453,0.93834769179244,-0.00941169878901088,0.00114196733811543,0.0841090253112032,Y
GTR1,0.0756494855137528,0.0413055979849088,0.0626774922939324,0.604231807786184,0.924350514486247,-0.00391503463075858,0.00624369646707308,0.101497646636645,Y
GSY2,0.0401150180832865,0.0800419800335136,0.0276015299607027,0.420422741315677,0.959884981916714,0.000669330889329837,-0.00466710221241164,0.0904558716735141,Y
GSY1,0.0309197736939377,-0.0434831838130261,-0.0382928832074975,0.312052122296572,0.969080226306062,0.00476322887302219,-0.00120151345198723,0.0830579529759955,Y
HAP4,0.943190794080974,-0.0049853988176579,-0.00198817821244767,0.109013398552017,0.0568092059190264,-0.0364848406091517,0.0352099478395011,0.314128212429106,Y
HCR1,0.925885519315853,-0.0114502555425448,-0.0027520843492217,0.146191728861068,0.0741144806841473,-0.0950182880327022,-0.054827516574174,0.564020311331065,Y
HFM1,0.888034309928603,-0.0132330164017644,0.00134414289266396,0.121230613289915,0.111965690071397,0.118510374053636,0.0254501354743797,0.406677371359614,Y
HHT1,0.0680502054429014,-0.0134900743796183,0.00293903683077159,0.207858880726887,0.931949794557099,-0.00160514432642478,-0.00287197698953228,0.0651602247580499,Y
HNT3,0.0988321439316337,-0.0499403211042879,-0.0169706509052711,0.25773273219597,0.901167856068366,0.00583376877310003,0.00129018904983006,0.0748172848747766,Y
HOG1,0.065187291323379,-0.178636670614997,0.0343321360450872,0.455397695298778,0.934812708676621,5.56044096680322e-05,0.000391304577828566,0.077442956612376,Y
HHF1,0.945504576089553,-0.00588402007240037,-0.00226670166902711,0.0751145558565799,0.0544954239104474,0.110093744215983,0.0133847066374707,0.224084845426646,Y
HOS3,0.935898700794488,0.00589981705760385,0.010195761533375,0.0741044877999536,0.0641012992055125,-0.172724735073578,-0.0123219108755417,0.337290646402093,Y
HOM2,0.0907186639555945,0.252737050456239,0.0278266150177913,0.480692805347395,0.909281336044406,-0.0123429717281471,-0.000975800218408366,0.106163050126931,Y
HUR1,0.847150978980003,-0.0190216081002682,0.00315107809710418,0.151580462271569,0.152849021019997,0.267087375883956,0.015662246195462,0.50352215215681,Y
KKQ8,0.0819048513753552,-0.103870919185746,0.00973257210437143,0.316342010908983,0.918095148624645,0.00749375400960233,0.00375074255134463,0.0768256044705042,Y
INP52,0.0671967673419702,-0.344744875188817,-0.0455441214864567,0.498028686857082,0.93280323265803,-0.00945072005231982,0.0165727157149992,0.127503990999736,Y
IRC3,0.160921561936915,0.214088696654863,0.00358700035457916,0.501724336490122,0.839078438063085,-0.0228355342923521,-0.00321018367996244,0.180167706894404,Y
IRE1,0.0577748095089397,-0.17044684542553,-0.107719566248016,0.481724146113822,0.94222519049106,0.0100464815113887,0.0014366904765224,0.164475669681573,Y
