,soft_cor_c1,soft_beta_c1,soft_pval_c1,soft_cor_c2,soft_beta_c2,soft_pval_c2,hard_cor_c1,hard_beta_c1,hard_pval_c1,hard_cor_c2,hard_beta_c2,hard_pval_c2,soft_adjp_c1,soft_adjp_c2,hard_adjp_c1,hard_adjp_c2,ratio_1,ratio_2
NAM7, 1.03081e-01, 1.38220e-02,2.60096e-10, 0.031349018, 2.54653e-02, 9.02296e-05, 0.106358691, 1.36989e-02,3.23937e-09, 6.88376e-02, 2.44029e-02,1.11749e-01,6.86886e+00,  1.3286477,5.77354e+00, 0.0000000,0.79701675,0.20298325
MUD2,-1.38415e-01,-2.66059e-02,2.26018e-11, 0.005368051,-1.79938e-04, 9.03288e-01,-0.132894960,-3.39091e-02,5.27791e-02, 7.17944e-03, 6.47068e-04,6.75415e-01,7.92985e+00,  0.0000000,0.00000e+00, 0.0000000,0.11090908,0.88909092
NCE102,-6.35340e-02,-1.93592e-03,6.29460e-01, 0.125508541, 8.59088e-03, 3.95052e-14, 0.001571782, 4.21752e-04,9.83106e-01, 1.25748e-01, 8.64738e-03,1.41923e-13,0.00000e+00, 10.6873425,0.00000e+00,10.1319427,0.07988387,0.92011613
MUM2,-1.89423e-02, 3.23080e-03,5.32057e-01, 0.144970786, 1.12683e-02, 1.00909e-17, 0.019690194, 6.74384e-03,8.18694e-01, 1.42563e-01, 1.14951e-02,2.93874e-17,0.00000e+00, 14.2800682,0.00000e+00,13.8158361,0.06235672,0.93764328
MUS81,          NA,          NA,         NA,          NA,          NA,          NA,          NA,          NA,         NA,          NA,          NA,         NA,         NA,         NA,         NA,        NA,0.96140536,0.03859464
MSG5,          NA,          NA,         NA,          NA,          NA,          NA,          NA,          NA,         NA,          NA,          NA,         NA,         NA,         NA,         NA,        NA,0.02906557,0.97093443
MSN5, 1.14940e-01, 4.15529e-02,1.43800e-09,-0.095000470,-1.11561e-02, 1.81286e-06, 0.129018342, 5.77699e-02,3.91297e-02,-8.04785e-02,-1.14210e-02,2.98990e-06,6.12624e+00,  3.0256328,0.00000e+00, 2.8083400,0.12295943,0.87704057
MSH2, 2.76942e-02, 3.47130e-03,6.33131e-02, 0.270458227, 8.73685e-02, 6.33115e-49, 0.040884809, 4.62257e-03,1.61547e-02, 2.53388e-01, 1.00938e-01,1.41483e-03,0.00000e+00, 45.4825139,0.00000e+00, 0.1332917,0.92883264,0.07116736
MSH1, 1.02919e-01, 2.16979e-02,3.28734e-06,-0.077980465,-7.56431e-03, 8.53885e-05, 0.097674793, 3.10890e-02,9.18124e-02,-6.31665e-02,-7.35366e-03,2.71806e-04,2.76715e+00,  1.3525974,0.00000e+00, 0.8497374,0.16255889,0.83744111
MRT4, 8.20509e-02, 1.70556e-02,1.92062e-03,-0.086383220,-1.06939e-02, 3.68557e-07, 0.060551204, 2.07613e-02,4.67826e-01,-8.01857e-02,-1.03069e-02,2.24441e-06,5.55705e-04,  3.7174924,0.00000e+00, 2.9328950,0.07347665,0.92652335
MSC1, 1.03860e-01, 2.45474e-02,1.27403e-05,-0.077348294,-7.95238e-03, 1.15364e-05, 0.106162544, 3.96932e-02,2.40586e-01,-7.66668e-02,-8.47865e-03,5.72800e-06,2.17882e+00,  2.2219258,0.00000e+00, 2.5259934,0.06441083,0.93558917
MRN1,-1.27146e-01,-3.05695e-02,5.25752e-06, 0.195864681, 2.33202e-02, 3.97148e-30,-0.070154654,-2.75755e-02,3.28526e-01, 1.96149e-01, 2.46265e-02,5.13652e-31,2.56322e+00, 26.6850440,0.00000e+00,27.5733276,0.08234500,0.91765500
MRC1,-4.43837e-02,-3.76265e-03,1.59258e-02, 0.146365980, 4.57546e-02, 5.31434e-26,-0.036935501,-3.51974e-03,3.06290e-02, 2.47756e-01, 6.31781e-02,5.49048e-04,0.00000e+00, 22.5585477,0.00000e+00, 0.5443864,0.90893891,0.09106109
MMS4,          NA,          NA,         NA,          NA,          NA,          NA,          NA,          NA,         NA,          NA,          NA,         NA,         NA,         NA,         NA,        NA,0.04098657,0.95901343
