ID,Noise SD
YCR059C,-1.2320812902
YCR060W,
YCR061W,
YCR062W,
YCR063W,-0.1680690572
YCR064C,
YCR065W,
YCR066W,
YCR067C,
YCR068W,
YCR069W,
YCR070W,
YCR071C,0.282630574
YCR072C,
YCR073C,
YCR073WA,
YCR073W-A,
YCR074C,
YCR075C,
YCR075W-A,
YCR076C,
YCR077C,0.2789078695
YCR079W,
YCR080W,
YCR081C-A,
YCR081W,
YCR082W,0.94277896
YCR083W,
YCR084C,1.5052497258
YCR085W,
YCR086W,
YCR087C-A,
YCR087W,
YCR088W,0.1171783637
YCR089W,
YCR090C,2.9076192631
YCR091W,
YCR092C,
YCR093W,-0.603384049
YCR094W,
YCR095C,
YCR095W-A,
YCR096C,
YCR097W,
YCR097WA,
YCR097W-A,
YCR097WB,
YCR098C,
YCR099C,
YCR100C,
YCR101C,
YCR102C,
YCR102WA,
YCR102W-A,
YCR103C,
YCR104W,
YCR105W,
YCR106W,
YCR107W,
YCR108C,
YDL001W,
YDL002C,
YDL003W,
YDL004W,
YDL005C,-0.798467124
YDL006W,
YDL007C-A,
YDL007W,
YDL008W,-0.6652729093
YDL009C,
YDL010W,
YDL011C,
YDL012C,
YDL013W,
YDL014W,
YDL015C,
YDL016C,
YDL017W,
YDL018C,-0.1995577288
YDL019C,-0.4016581872
YDL020C,
YDL021W,
YDL022C-A,
YDL022W,5.4688279359
YDL023C,
YDL024C,
YDL025C,1.7468696567
YDL025W-A,
YDL026W,
YDL027C,
YDL028C,
YDL029W,
YDL030W,
YDL031W,
YDL032W,
YDL033C,
YDL034W,
YDL035C,
YDL036C,
YDL037C,
YDL038C,
YDL039C,
YDL040C,-0.2504593693
YDL041W,
YDL042C,
YDL043C,
YDL044C,
YDL045C,
YDL045WA,
YDL045W-A,
YDL046W,-0.6682503526
YDL047W,-0.0003769784
YDL048C,
YDL049C,
YDL050C,
YDL051W,-0.9588027231
YDL052C,-0.4780223438
YDL053C,0.8224152601
YDL054C,
YDL055C,
YDL056W,
YDL057W,
YDL058W,-0.0361805901
YDL059C,
YDL060W,
YDL061C,-1.9567336666
YDL062W,
YDL063C,
YDL064W,
YDL065C,-0.2529977384
YDL066W,0.1313237105
YDL067C,
YDL068W,
YDL069C,
YDL070W,0.3481955453
YDL071C,
YDL072C,-0.3489959955
YDL073W,
YDL074C,6.6486998899
YDL075W,
YDL076C,-1.1028086634
YDL077C,
YDL078C,-0.8169981496
YDL079C,
YDL080C,
YDL081C,
YDL082W,-2.6725886984
YDL083C,-0.8058641496
YDL084W,
YDL085C-A,0.7887247066
YDL085W,
YDL086C-A,
YDL086W,
YDL087C,
YDL088C,-0.8447386081
YDL089W,
YDL090C,
YDL091C,
YDL092W,-0.8775580694
YDL093W,
YDL094C,
YDL095W,0.1996230216
YDL096C,
YDL097C,-1.3115337718
YDL098C,1.5877721063
YDL099W,-0.5038928415
YDL100C,-1.7043007015
YDL101C,
YDL102W,-0.185646679
YDL103C,0.0958004265
YDL104C,
YDL105W,
YDL106C,
YDL107W,
YDL108W,
YDL109C,
YDL110C,1.4378968078
YDL111C,-0.2566564799
YDL112W,
YDL113C,
YDL114W,
YDL114W-A,
YDL115C,
YDL116W,-1.2534980401
YDL117W,
YDL118W,
YDL119C,
YDL120W,
YDL121C,0.4562563596
YDL122W,
YDL123W,1.5628968078
YDL124W,3.8971448182
YDL125C,1.6003035233
YDL126C,-0.415472793
YDL127W,
YDL128W,3.8351779762
YDL129W,
YDL130W,-2.8811437042
YDL130WA,
YDL130W-A,
YDL131W,0.106112631
YDL132W,0.0871157983
YDL133CA,
YDL133C-A,
YDL133W,
YDL134C,-1.5571858888
YDL134C-A,
YDL135C,-0.5424101475
YDL136W,-2.6019316523
YDL137W,
YDL138W,
YDL139C,
YDL140C,0.0168634769
YDL141W,1.2257999266
YDL142C,
YDL143W,
YDL144C,-1.459385211
YDL145C,1.5208196754
YDL146W,
YDL147W,-1.867328935
YDL148C,
YDL149W,
YDL150W,-0.7321264264
YDL151C,
YDL152W,
YDL153C,
YDL154W,
YDL155W,
YDL156W,
YDL157C,-0.1879817706
YDL158C,
YDL159C-B,
YDL159W,
YDL159W-A,
YDL160C,-1.1315986341
YDL160C-A,
YDL161W,-1.2769809971
YDL162C,
YDL163W,
YDL164C,
YDL165W,1.6273517924
YDL166C,-0.3679335276
YDL167C,0.9420182294
YDL168W,8.9159957433
YDL169C,
YDL170W,
YDL171C,2.0007988863
YDL172C,
YDL173W,0.8652941176
YDL174C,
YDL175C,
YDL176W,
YDL177C,
YDL178W,1.3495920135
YDL179W,
YDL180W,
YDL181W,
YDL182W,0.9086111528
YDL183C,
YDL184C,-1.6639487811
YDL185C-A,
YDL185W,1.6332257473
YDL186W,
YDL187C,
YDL188C,
YDL189W,-0.8869707769
YDL190C,0.7920167572
YDL191W,-2.4248545119
YDL192W,-3.391552425
YDL193W,0.0377526132
YDL194W,
YDL195W,-1.6809995809
YDL196W,
YDL197C,
YDL198C,
YDL199C,
YDL200C,
YDL201W,0.4220873827
YDL202W,-1.9174024282
YDL203C,
YDL204W,
YDL205C,-1.1759123023
YDL206W,
YDL207W,
YDL208W,-0.6901364547
YDL209C,
YDL210W,
YDL211C,
YDL212W,-0.5076989947
YDL213C,-1.9729149745
YDL214C,
YDL215C,4.854353321
YDL216C,
YDL217C,
YDL218W,
YDL219W,
YDL220C,
YDL221W,
YDL222C,
YDL223C,
YDL224C,0.0373232391
YDL225W,1.2725076401
YDL226C,-1.4184831089
YDL227C,
YDL228C,
YDL229W,-0.0021768119
YDL230W,
YDL231C,
YDL232W,
YDL233W,
YDL234C,
YDL235C,0.6351243235
YDL236W,2.359654495
YDL237W,
YDL238C,
YDL239C,
YDL240C-A,
YDL240W,
YDL241W,
YDL242W,
YDL243C,
YDL244W,
YDL245C,
YDL246C,
YDL247W,
YDL247W-A,
YDL248W,
YDR001C,
YDR002W,
YDR003W,-0.5228181737
YDR003W-A,
YDR004W,
YDR005C,
YDR006C,
YDR007W,-1.0152091464
YDR008C,
YDR009W,
YDR010C,
YDR011W,1.0519727754
YDR012W,-2.1556484607
YDR013W,
YDR014W,
YDR014W-A,
YDR015C,
YDR016C,0.4769621952
YDR017C,-0.3753744827
YDR018C,
YDR019C,1.2050288937
YDR020C,
YDR021W,
YDR022C,
YDR023W,
YDR024W,
YDR025W,
YDR026C,
YDR027C,-0.2440042567
YDR028C,0.4120022616
YDR029W,
YDR030C,
YDR031W,0.0978745887
YDR032C,3.5500469292
YDR033W,8.3945901325
YDR034C,
YDR034CA,
YDR034C-A,
YDR034C-C,
YDR034C-D,
YDR034WB,
YDR034W-B,0.447008009
YDR035W,0.3100966496
YDR036C,1.6256171392
YDR037W,
YDR038C,
YDR039C,
YDR040C,0.7717456865
YDR041W,
YDR042C,
YDR043C,
YDR044W,0.5962666051
YDR045C,
YDR046C,
YDR047W,-0.0021470572
YDR048C,
YDR049W,0.6146853746
YDR050C,-2.2494816074
YDR051C,-1.3697439134
YDR052C,
YDR053W,
YDR054C,-0.2568248653
YDR055W,7.7273544484
YDR056C,-0.5739473684
YDR057W,
YDR058C,
YDR059C,
YDR060W,0.2708668536
YDR061W,
YDR062W,-0.2317674419
YDR063W,0.43125
YDR064W,
YDR065W,
YDR066C,1.445
YDR067C,
YDR068W,-1.3147277781
YDR069C,
YDR070C,12.5951274811
YDR071C,
YDR072C,
YDR073W,
YDR074W,4.7613771801
YDR075W,-1.4578842017
YDR076W,
YDR077W,11.3562457835
YDR078C,
YDR079C-A,
YDR079W,-0.4761109225
YDR080W,
YDR081C,
YDR082W,
YDR083W,
YDR084C,
YDR085C,
YDR086C,1.0812261373
YDR087C,-1.5089780826
YDR088C,
YDR089W,
YDR090C,0.3029048899
YDR091C,1.4493711657
YDR092W,-1.4502131603
YDR093W,-0.1740699214
YDR094W,
YDR095C,
YDR096W,
YDR097C,
YDR098C,-0.5869835405
YDR098C-A,
YDR098C-B,
YDR099W,-3.2882939927
YDR100W,0.4770484811
YDR101C,1.5912817833
YDR102C,
YDR103W,
YDR104C,
YDR105C,-1.0159187387
YDR106W,
YDR107C,
YDR108W,
