,lambda_1,int_1,beta_1,sigma_1,lambda_2,int_2,beta_2,sigma_2,conv
RPA14,0.875112142307972,-0.00175469730035603,-0.00034677804548216,0.0829828098777083,0.124887857692028,-0.10696268610139,0.0292789644031286,0.314630474011716,Y
RPA12,0.149426759619857,-0.00709861152717578,-0.00133518120851366,0.360814611181344,0.850573240380143,0.000958861426883236,0.00102629827867234,0.107898478431475,Y
RNR4,0.184397031927951,0.273955870108028,-0.0338497125283372,0.555856749709438,0.815602968072049,0.000326506646278101,-0.0144613179549557,0.176166428943503,Y
RMI1,0.897732002546542,0.000687138758670393,-0.00410258720394377,0.0989029166586098,0.102267997453458,0.317681366122526,-0.0436311478381105,0.440240528361348,Y
RIM1,0.865157888595288,0.018864063400975,-0.0173709652043255,0.196860637408211,0.134842111404712,0.332844496489956,-0.074810775212753,0.648811757460624,Y
RGP1,0.816125288156351,0.00919371865265517,-0.0120248586522809,0.180006048925227,0.183874711843649,0.400832566554855,-0.0703932999258078,0.685025891613281,Y
RGT2,0.0666424651691799,0.0563528934336034,0.0656019297188128,0.351020805433069,0.93335753483082,-0.00243683368755188,0.000318770753008925,0.0772954841241876,Y
RIC1,0.142058923514593,0.274205253713257,-0.0419135184445826,0.497691162962475,0.857941076485407,0.00805420556831057,-0.0050997527596485,0.115398100722702,Y
RIF1,0.0456371862105771,-0.0818944177776639,0.0421255218374509,0.257583937128622,0.954362813789423,-0.00115012950119224,0.00136761586269353,0.0500205960536399,Y
REG1,0.833947472589678,0.0106148142295981,-0.0200600371105389,0.255638587009377,0.166052527410322,0.620555151162596,-0.0833674986054399,1.07221368498776,Y
REV3,0.931466632137598,-0.000359526635622684,-0.000248629761878517,0.0555627112914686,0.0685333678624016,-0.0949732325276951,0.00554190536616076,0.222074977474916,Y
RCE1,0.0868345490018986,-0.0895138759643816,-0.0368286763157434,0.270032988477917,0.913165450998101,0.00578738212912062,0.00172484333889205,0.0959046937055629,Y
RAS2,0.0843175129598211,0.125199842040356,-0.0437582019374594,0.399910252904622,0.915682487040179,-0.000985759827294229,-0.00250463122308609,0.079092992382674,Y
RAI1,0.177785731564824,0.210620943808141,-0.0423145295110655,0.572284734985162,0.822214268435176,-0.000318016112347941,-0.00742672411828655,0.172721231776858,Y
RAM1,0.81363425896879,0.0252845412322198,-0.0237409836597854,0.337368727628095,0.18636574103121,0.631444000966396,-0.0924464637631327,1.19842343896208,Y
RAD57,0.848231513199331,0.00726456367248952,-0.0023079426492409,0.0895961381985497,0.151768486800669,0.182081912014509,-0.0200230014939185,0.333541991059456,Y
RAD54,0.118879663991573,0.207650896419244,-0.0352713398853984,0.349891897084417,0.881120336008427,0.00259991628565757,-0.00416196829759806,0.103808626181663,Y
RAD50,0.845195340693245,0.00713091568414618,-0.00601170429245405,0.150043016778311,0.154804659306755,0.387057264215541,-0.0518770119887737,0.530033609053948,Y
RAD55,0.119473683405378,0.113903657419718,-0.00595433042853315,0.239365235231422,0.880526316594622,-0.00505434232398879,0.000396513375600254,0.0689447806825745,Y
RAD52,0.818351041656111,-0.000771616964383101,-0.00864648550608993,0.133838859289537,0.18164895834389,0.270587538447336,-0.0235855308009581,0.457993800185279,Y
RAD27,0.843782246206883,-0.00601157774037914,-0.00348618316280649,0.138640830108523,0.156217753793117,0.162999891787629,-0.00811338910635252,0.505003721787992,Y
RAD1,0.109686792603217,-0.100336154717844,0.0112125255580547,0.439839884404724,0.890313207396783,-0.00844260328357054,0.000735431373082671,0.10605475847131,Y
PUS7,0.919935151157919,-0.00226486861167171,0.000594666695237684,0.0869165865392776,0.0800648488420811,-0.0446056105720673,-0.0228317369293115,0.378684918677636,Y
PUF4,0.0564613906151327,-0.012611724259888,0.0438050536911533,0.308317819033887,0.943538609384867,0.00484481864492989,-0.000900676177099887,0.0776180214133632,Y
PUS1,0.117786558991714,-0.150202174368194,-0.00795525296844074,0.516899680732109,0.882213441008286,-0.00936427147228238,0.00216515488390268,0.107543013790183,Y
