,soft_cor_c1,soft_beta_c1,soft_pval_c1,soft_cor_c2,soft_beta_c2,soft_pval_c2,hard_cor_c1,hard_beta_c1,hard_pval_c1,hard_cor_c2,hard_beta_c2,hard_pval_c2,soft_adjp_c1,soft_adjp_c2,hard_adjp_c1,hard_adjp_c2,ratio_1,ratio_2
HXK2,-1.03704e-02, 5.73797e-03,5.17768e-01,-2.74266e-02,-3.65126e-03,5.90438e-02, 0.032074019, 2.23317e-02,4.67659e-01,-2.83230e-02,-3.71092e-03,6.86261e-02, 0.0000000, 0.0000000,0.0000000,0.00000000,0.1618800,0.8381200
HMO1, 4.59088e-02, 6.53188e-03,1.23239e-03,-2.42854e-02,-8.45348e-04,8.93311e-01, 0.049214299, 6.82206e-03,1.25881e-03,-2.02199e-02,-1.14610e-02,7.03393e-01, 0.1030727, 0.0000000,0.0938610,0.00000000,0.8478598,0.1521402
INO2,-1.16426e-01,-6.28566e-02,3.21219e-06,-5.46556e-02,-1.12158e-02,3.63149e-04,-0.043282789,-4.85601e-02,3.84976e-01,-5.56821e-02,-1.19726e-02,2.84289e-04, 2.6870183, 0.6337346,0.0000000,0.74006009,0.1393855,0.8606145
HAP1,-1.69917e-01,-3.96979e-02,1.69437e-21,-3.75710e-02,-3.53047e-03,5.75934e-03,-0.252879447,-9.26753e-02,7.14367e-03,-3.93437e-02,-3.49354e-03,8.04008e-03,17.9648130, 0.0000000,0.0000000,0.00000000,0.0551706,0.9448294
ISW2,-8.43195e-03,-5.86767e-04,6.16415e-01, 3.48120e-02, 1.92758e-02,7.21343e-03,-0.006061028,-4.88540e-04,6.90473e-01, 5.34255e-02, 3.23463e-02,3.33279e-01, 0.0000000, 0.0000000,0.0000000,0.00000000,0.8945014,0.1054986
HAP3,-2.94139e-02,-2.53030e-02,9.26061e-05,-2.58989e-02,-2.01213e-03,1.10179e-01,-0.076469275,-3.95757e-02,3.00874e-01,-2.90364e-02,-2.55594e-03,5.23946e-02, 1.2271806, 0.0000000,0.0000000,0.00000000,0.0677548,0.9322452
IXR1,-1.00152e-02,-1.05851e-03,4.08801e-01,-1.49659e-02,-4.48302e-03,5.73373e-01,-0.005684651,-4.96495e-04,7.13140e-01,-1.24576e-02,-8.28668e-03,7.88983e-01, 0.0000000, 0.0000000,0.0000000,0.00000000,0.8587647,0.1412353
HAP2,-1.99384e-02,-1.92741e-03,1.65060e-01,-1.92262e-01,-5.11578e-02,1.10917e-20,-0.020079199,-1.92620e-03,1.82178e-01,-1.28586e-01,-5.42885e-02,4.99532e-02, 0.0000000,17.1488226,0.0000000,0.00000000,0.9140717,0.0859283
INO4,-6.55189e-02,-1.59840e-02,2.13716e-05,-1.23300e-01,-6.82534e-02,2.53299e-06,-0.060910984,-1.57092e-02,6.85176e-05,-3.32144e-02,-4.04516e-02,5.17489e-01, 1.8639829, 2.7901868,1.3580177,0.00000000,0.8601210,0.1398790
HAL9,-6.56656e-02,-9.29495e-03,3.56272e-02,-1.48975e-02,-6.96781e-04,4.79613e-01,-0.008448310,-3.22931e-03,8.89896e-01,-1.39281e-02,-9.49068e-04,3.56867e-01, 0.0000000, 0.0000000,0.0000000,0.00000000,0.1000356,0.8999644
GZF3,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,        NA,        NA,       NA,        NA,0.0385153,0.9614847
HAP5,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,        NA,        NA,       NA,        NA,0.9670699,0.0329301
GAT2,-1.29248e-02,-5.32640e-04,4.64802e-01, 6.19733e-02, 1.28112e-02,1.06878e-04,-0.007855558,-3.93527e-04,5.99863e-01, 7.66762e-02, 2.22988e-02,2.96931e-01, 0.0000000, 1.1649318,0.0000000,0.00000000,0.9305847,0.0694153
FZF1, 1.07339e-01, 1.99820e-02,8.65571e-07,-1.76444e-02,-1.07720e-03,3.22488e-01, 0.126653031, 5.00462e-02,4.41487e-02,-1.70853e-02,-1.27851e-03,2.57401e-01, 3.2565175, 0.0000000,0.0000000,0.00000000,0.1043754,0.8956246
FKH1, 7.55027e-02, 2.71660e-02,9.20387e-05,-1.17603e-02,-5.83608e-04,5.82607e-01, 0.062441170, 3.63247e-02,3.03073e-01,-5.16811e-03,-3.76974e-04,7.32544e-01, 1.2298495, 0.0000000,0.0000000,0.00000000,0.0860925,0.9139075
GIS1, 1.40775e-01, 2.92124e-02,3.89862e-09, 1.38833e-02, 1.31183e-03,3.09901e-01, 0.120587659, 5.73079e-02,4.22923e-02, 1.29231e-02, 1.14616e-03,3.93330e-01, 5.6029096, 0.0000000,0.0000000,0.00000000,0.1148122,0.8851878
GCN4, 3.06067e-02, 3.41448e-03,2.18530e-02, 1.80923e-01, 4.89810e-02,1.46779e-12, 0.031639846, 3.25152e-03,3.50340e-02, 8.75298e-02, 5.10865e-02,2.06488e-01, 0.0000000, 9.0271567,0.0000000,0.00000000,0.9235512,0.0764488
GLN3,-3.57187e-02,-4.56691e-03,3.40276e-02,-2.07857e-02, 2.84491e-03,7.48028e-01,-0.030473084,-4.49892e-03,4.57018e-02, 3.59019e-02, 2.67899e-02,5.03807e-01, 0.0000000, 0.0000000,0.0000000,0.00000000,0.8753936,0.1246064
CST6,-1.22622e-01,-8.78104e-02,1.13199e-08,-9.28816e-02,-2.03026e-02,7.11563e-09,-0.067169747,-7.84578e-02,9.20847e-02,-8.99503e-02,-2.13137e-02,1.11488e-08, 5.1399765, 5.3416064,0.0000000,5.14659367,0.1956724,0.8043276
CIN5, 2.96067e-02,-1.06856e-03,8.06323e-01, 4.55422e-02, 2.97865e-03,4.53063e-03,-0.043862373,-1.68019e-02,5.14635e-01, 4.40631e-02, 3.21184e-03,3.36748e-03, 0.0000000, 0.0000000,0.0000000,0.00000000,0.0889765,0.9110235
DAL81,-5.39061e-02,-5.99306e-03,1.41514e-04,-9.91558e-02,-2.70811e-02,1.90402e-07,-0.055615418,-5.90761e-03,3.24075e-04,-8.83508e-02,-4.21708e-02,5.45787e-02, 1.0430197, 3.9141477,0.6831751,0.00000000,0.8137136,0.1862864
ASH1,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,        NA,        NA,       NA,        NA,0.0358194,0.9641806
CHA4,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,        NA,        NA,       NA,        NA,0.0228371,0.9771629
DAT1,-8.41275e-02,-1.35250e-02,4.60748e-03, 4.56289e-02, 3.68061e-03,4.43303e-03,-0.057805283,-2.50573e-02,3.63708e-01, 4.68126e-02, 4.16750e-03,1.89626e-03, 0.0000000, 0.0000000,0.0000000,0.00000000,0.1000220,0.8999780
CBF1,-6.56602e-02,-1.08505e-02,3.17344e-05,-1.49501e-01,-8.36881e-02,2.36205e-14,-0.062330028,-1.11772e-02,4.59623e-05,-1.43600e-01,-1.29092e-01,5.03792e-03, 1.6922893,10.8205312,1.5314187,0.00000000,0.8655198,0.1344802
ADA2,-3.40782e-02,-6.63168e-03,2.72243e-02,-5.91713e-02,-3.59746e-02,2.09288e-03,-0.028884982,-5.86461e-03,6.17310e-02,-6.31497e-02,-6.60864e-02,1.74006e-01, 0.0000000, 0.0000000,0.0000000,0.00000000,0.8304798,0.1695202
CUP9, 4.38440e-02, 1.26953e-02,8.07851e-03,-2.42902e-02,-1.35562e-03,1.20294e-01, 0.076853611, 3.23824e-02,2.13264e-01,-2.76611e-02,-1.65440e-03,6.70215e-02, 0.0000000, 0.0000000,0.0000000,0.00000000,0.0875184,0.9124816
AFT1, 1.37665e-01, 5.56349e-02,5.61323e-11,-2.39234e-02,-1.96818e-03,1.45230e-01, 0.111105175, 7.80523e-02,1.01031e-01,-2.06913e-02,-1.92841e-03,1.68533e-01, 7.4446073, 0.0000000,0.0000000,0.00000000,0.0702961,0.9297039
ACE2,-7.62697e-02,-3.08357e-02,8.38194e-04,-1.12645e-05, 5.24378e-05,9.69497e-01,-0.061942365,-4.74456e-02,2.96506e-01, 2.23545e-03, 2.10769e-04,8.82646e-01, 0.2704754, 0.0000000,0.0000000,0.00000000,0.0887421,0.9112579
AZF1,-2.46286e-02,-4.46029e-03,2.90301e-01, 5.05640e-02, 3.79287e-03,1.87347e-03,-0.036629227,-1.47944e-02,5.07915e-01, 4.70059e-02, 3.90775e-03,1.99916e-03, 0.0000000, 0.0000000,0.0000000,0.00000000,0.1339572,0.8660428
ABF2,-2.63102e-02,-1.73732e-03,7.62900e-02,-1.07706e-01,-3.78333e-02,2.25697e-10,-0.024118469,-1.63096e-03,1.06936e-01,-1.19864e-01,-5.86564e-02,1.08996e-01, 0.0000000, 6.8402945,0.0000000,0.00000000,0.9406863,0.0593137
BAS1,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,        NA,        NA,       NA,        NA,0.9567025,0.0432975
ARG81,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,        NA,        NA,       NA,        NA,0.9814797,0.0185203
ARG80, 1.12501e-01, 2.84545e-02,1.00643e-05, 1.71773e-02, 1.23500e-03,2.66426e-01, 0.082901127, 4.45399e-02,2.76802e-01, 1.39249e-02, 1.06647e-03,3.51699e-01, 2.1910344, 0.0000000,0.0000000,0.00000000,0.0585794,0.9414206
RPS21A, 3.84299e-02, 1.39667e-02,9.58210e-03, 3.16748e-02, 4.35858e-03,2.13221e-02, 0.063209429, 3.24932e-02,2.57323e-01, 2.88124e-02, 3.72203e-03,5.81050e-02, 0.0000000, 0.0000000,0.0000000,0.00000000,0.1505646,0.8494354
SRP40, 3.41298e-02, 5.47140e-03,7.44148e-03, 1.67076e-01, 5.31312e-02,5.78901e-17, 0.036547246, 5.19307e-03,1.45742e-02, 1.86858e-01, 1.11632e-01,1.15443e-02, 0.0000000,13.4312154,0.0000000,0.00000000,0.9081264,0.0918736
RCM1, 8.00853e-02, 2.64231e-02,1.73017e-04, 3.70597e-02, 4.66423e-03,1.56404e-02, 0.074121479, 4.76312e-02,2.33633e-01, 3.23849e-02, 4.32290e-03,3.19179e-02, 0.9557320, 0.0000000,0.0000000,0.00000000,0.1093927,0.8906073
