,prob,cor,cor_sd,beta,beta_sd,pval_beta,pval_beta_sd,adjp_beta,adjp_beta_sd,ratio,ratio_sd
NCS6,0.4,-0.11584,1.560e-06,-0.029303,8.316e-07,2.937e-08,1.426e-11, 4.741,5.068e-04,0.14850,5.862e-06
CCE1,0.1,-0.11272,       NA,-0.026087,       NA,3.151e-08,       NA, 4.711,       NA,0.23766,       NA
SWA2,0.2,-0.10081,0.000e+00,-0.058439,7.071e-09,3.877e-08,1.414e-13, 4.620,1.492e-03,0.17572,7.071e-08
AZF1,0.5,-0.09985,4.472e-08,-0.019542,1.924e-08,4.127e-08,6.892e-13, 4.593,5.839e-04,0.11480,8.367e-08
HOS3,0.6,-0.04793,3.209e-07,-0.024825,3.172e-07,4.466e-08,1.197e-11, 4.559,9.601e-04,0.06550,7.230e-07
FKS1,0.5,-0.10763,1.643e-07,-0.037954,2.408e-08,5.009e-08,6.439e-12, 4.509,3.493e-04,0.14122,2.247e-06
STB5,0.1,-0.11432,       NA,-0.043759,       NA,5.250e-08,       NA, 4.489,       NA,0.13856,       NA
SER2,0.4,-0.11954,5.000e-08,-0.023457,5.774e-09,5.788e-08,0.000e+00, 4.446,9.076e-04,0.08156,5.774e-08
GCN5,0.6,-0.07299,5.086e-07,-0.053875,3.767e-07,5.867e-08,5.086e-13, 4.441,1.258e-03,0.12427,2.273e-06
SWM1,0.2,-0.11222,0.000e+00,-0.025947,0.000e+00,5.910e-08,0.000e+00, 4.436,4.950e-04,0.09771,0.000e+00
YPT6,0.2,-0.10104,7.071e-08,-0.049680,4.950e-08,5.959e-08,1.202e-12, 4.434,9.829e-04,0.19003,2.121e-07
RAD50,0.2,-0.10418,3.536e-07,-0.039640,3.253e-07,6.467e-08,6.859e-12, 4.399,1.541e-03,0.11427,3.182e-06
YAF9,0.6,-0.10228,1.408e-06,-0.028504,6.728e-07,6.636e-08,2.917e-11, 4.387,1.352e-03,0.15272,3.591e-06
HFM1,0.2,-0.10443,7.071e-08,-0.030154,2.121e-08,6.688e-08,4.243e-13, 4.384,0.000e+00,0.11387,2.121e-07
ADA2,0.7,-0.09114,0.000e+00,-0.052366,1.952e-08,7.137e-08,3.185e-13, 4.356,1.126e-03,0.15601,9.512e-08
LEO1,0.3,-0.09296,0.000e+00,-0.030360,3.215e-08,7.939e-08,1.572e-12, 4.309,6.951e-04,0.09439,5.774e-08
NPL3,0.5,-0.10894,8.944e-07,-0.061547,9.163e-07,8.079e-08,2.160e-11, 4.302,6.129e-04,0.15862,2.998e-06
YGR122W,0.5,-0.08250,5.477e-08,-0.044623,5.495e-08,8.749e-08,1.569e-12, 4.266,5.863e-04,0.05271,5.477e-08
GPG1,0.5, 0.15704,1.140e-07, 0.024908,3.362e-08,1.042e-07,2.915e-12, 4.191,1.164e-03,0.05133,4.472e-08
RRG9,0.3,-0.10224,5.774e-08,-0.050840,2.887e-08,1.131e-07,1.155e-12, 4.155,4.041e-04,0.17051,1.155e-07
CGI121,0.3, 0.10178,5.774e-08, 0.030770,2.646e-08,1.131e-07,1.732e-12, 4.155,1.000e-05,0.11446,1.528e-07
