,soft_cor_c1,soft_beta_c1,soft_pval_c1,soft_cor_c2,soft_beta_c2,soft_pval_c2,hard_cor_c1,hard_beta_c1,hard_pval_c1,hard_cor_c2,hard_beta_c2,hard_pval_c2,soft_adjp_c1,soft_adjp_c2,hard_adjp_c1,hard_adjp_c2,ratio_1,ratio_2
SWC5, 1.01684e-02, 1.32421e-03,3.98221e-01, 0.091876021, 2.00872e-02,8.88736e-05, 0.019815620, 2.11321e-03,1.95404e-01, 5.18961e-02, 2.36036e-02,3.14266e-01, 0.0000000, 1.24504702,0.0000000,0.0000000,0.8460282,0.1539718
SIR2,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,        NA,         NA,       NA,       NA,0.9533038,0.0466962
SPT20,-7.12348e-04,-5.17878e-03,7.04121e-01,-0.008335135,-1.41595e-03,6.85080e-01,-0.015587965,-1.88387e-02,6.88240e-01,-6.00034e-03,-1.39365e-03,7.04970e-01, 0.0000000, 0.00000000,0.0000000,0.0000000,0.2300523,0.7699477
SIR4,-2.86514e-02,-3.09367e-03,5.10809e-02,-0.042119506,-6.09981e-02,1.29387e-04,-0.031312596,-3.41480e-03,3.68586e-02,-6.82970e-02,-8.44036e-02,3.30543e-01, 0.0000000, 1.08192894,0.0000000,0.0000000,0.9422705,0.0577295
SNF2, 8.06967e-02, 3.60301e-02,1.49193e-02,-0.011529301,-1.89687e-03,3.85643e-01, 0.026443093, 3.21349e-02,6.13117e-01,-1.32895e-02,-2.00805e-03,3.84678e-01, 0.0000000, 0.00000000,0.0000000,0.0000000,0.1134329,0.8865671
SNF11, 6.89761e-03, 1.01297e-03,4.01031e-01, 0.268476133, 8.84947e-02,2.70845e-44, 0.014096819, 1.17528e-03,3.47516e-01, 2.26960e-01, 1.17403e-01,1.03591e-03, 0.0000000,40.76109893,0.0000000,0.1784982,0.9291302,0.0708698
SNF12, 5.40779e-02, 3.41432e-02,1.22816e-02,-0.017846947,-2.12103e-03,3.46534e-01, 0.039074987, 4.61430e-02,3.94992e-01,-1.09927e-02,-1.69210e-03,4.77750e-01, 0.0000000, 0.00000000,0.0000000,0.0000000,0.1486574,0.8513426
SNF5, 6.60173e-02, 2.83156e-02,2.19112e-02,-0.073235835,-1.24257e-02,5.23196e-06, 0.050047739, 5.56506e-02,3.31835e-01,-6.92917e-02,-1.28818e-02,5.82804e-06, 0.0000000, 2.47515589,0.0000000,2.4282974,0.1325638,0.8674362
SIR3,-3.61959e-02,-4.77248e-02,1.89267e-03,-0.043073028,-4.40650e-03,5.40845e-03,-0.062346874,-7.62761e-02,3.34140e-01,-3.80386e-02,-4.12617e-03,1.15567e-02, 0.0000000, 0.00000000,0.0000000,0.0000000,0.0678178,0.9321822
SNF6,-5.55984e-02,-6.31997e-03,9.82481e-04,-0.005316145,-2.44340e-04,9.82049e-01,-0.049320733,-6.36618e-03,1.77148e-03, 6.84191e-03, 6.31955e-03,8.63487e-01, 0.2014959, 0.00000000,0.0000000,0.0000000,0.8057655,0.1942345
