,lambda_1,int_1,beta_1,sigma_1,lambda_2,int_2,beta_2,sigma_2,conv
ELG1,0.0819080859206542,0.00307118050910718,0.00164351259431239,0.335001330323069,0.918091914079346,0.000909664720140245,4.61336112017671e-05,0.0705128838801589,Y
ELF1,0.0881905302582271,-0.0854239421953186,-0.0328257057610735,0.550577469751575,0.911809469741773,0.00936194665122422,-0.0043793943283008,0.175747551408224,Y
ELM1,0.115413038805979,0.195776381806835,-0.0667223277690541,0.448817099814472,0.884586961194021,0.000899031431338732,-0.00680020989748914,0.124161825506044,Y
ERF2,0.075262667972131,0.0982980292421118,-0.00216597516014276,0.382102081903812,0.924737332027869,0.00469703654454086,-0.000175475888054665,0.0721738066480806,Y
ERG2,0.135612226941928,0.272078672463494,-0.0478535526776513,0.600628217845951,0.864387773058072,-0.00274584979033375,-0.00378027447025682,0.114748098765386,Y
EST1,0.823229207576669,-0.00612949308288517,-0.00249478641792,0.0630036467963608,0.176770792423331,0.0196229587412856,0.00893058288387363,0.222415790907188,Y
EXO1,0.928721980744804,-0.00106314698294467,-0.00203619742817842,0.0748450162914844,0.0712780192551964,0.0395439986729566,0.0177908345133201,0.50152466620906,Y
FAB1,0.916999332818788,0.00589523157880887,-0.00563756722116934,0.102048348622123,0.0830006671812122,0.182920156958525,-0.0874914708480278,0.496366762075901,Y
FKS1,0.166886317492401,0.255064598026431,-0.0225862306365525,0.529720813310475,0.833113682507599,0.00596136516280427,-0.00554157472613588,0.131369869691225,Y
GEP3,0.193606800052985,0.375778887169007,-0.0657050292373982,0.640465945709455,0.806393199947015,0.00997558351976435,-0.014692125515816,0.184508600392131,Y
FIN1,0.0503037336690073,0.0507337314232101,0.0206874748466529,0.440592501572781,0.949696266330993,0.0009366028586898,0.000579842406267274,0.0673396528764703,Y
FRA2,0.0521805564588306,0.0999448022589368,-0.0857324826125222,0.47562989268023,0.947819443541169,-0.000403879223628306,-0.00106020652460369,0.0461314911691969,Y
GAL80,0.017176126821387,0.197666631453366,-0.00707816060645868,0.78299405224573,0.982823873178613,-0.0021366957941699,-0.00102795044288179,0.0652602003842893,Y
FUS3,0.0891076472731225,0.00115699632406223,0.0580662255298052,0.641847727910192,0.910892352726878,-0.00705753315312311,0.00352993662025487,0.128853318626455,Y
GCR2,0.818622317446432,-0.000969654822932834,-0.000287724923551031,0.138747559578978,0.181377682553568,0.0677761973818995,-0.00684948369940566,0.480730464888858,Y
GPA2,0.845909933752581,0.00510430175673186,-0.00317172584126688,0.0936388329225913,0.154090066247419,0.173176094737794,0.013154874383453,0.459838788826756,Y
GPR1,0.154648722534594,0.201645172679862,-0.0168145152864403,0.618861089852659,0.845351277465406,0.00924682218340279,-0.0090040474319199,0.136469848743877,Y
GPG1,0.0677908937234363,-0.168064186551299,0.0380400847659427,0.32363268213995,0.932209106276564,0.00154099779667096,-0.000624759722726592,0.100887873080061,Y
GPH1,0.13058206583107,-0.110291015951046,0.0108289792844956,0.378708635724906,0.86941793416893,-0.00446015721994938,0.00282557505812143,0.0833648875658979,Y
GIS4,0.07596318290482,0.154062402039879,-0.0319616529147771,0.477610945982537,0.92403681709518,-0.00154200678091605,-0.00270607579940228,0.0865947156721972,Y
GTR1,0.879526560214716,0.00601377303407404,-0.00312019321371129,0.0882884764346292,0.120473439785284,0.0417637415467386,-0.00967837307768452,0.524974744576846,Y
GSY2,0.940221237919536,0.0061534372996223,-0.000347033038704803,0.0844221901463914,0.0597787620804644,0.0325056634642564,-0.00248862487710497,0.392716773034406,Y
GSY1,0.963336573000773,0.00757297656597713,0.000245069174040502,0.0781689186700012,0.0366634269992274,-0.0564963929403895,-0.0144812701616233,0.365368252370105,Y
HAP4,0.0557852409786613,-0.0102035211388893,-0.07023092583671,0.431741326245154,0.944214759021339,0.00102322982279822,-0.000291222612424158,0.1048332649382,Y
HCR1,0.0964566624277586,-0.023977963248774,-0.012301086527567,0.530104500712236,0.903543337572241,0.00493705467543598,-0.00210760453296947,0.142988969468567,Y
HFM1,0.144379480409056,0.161698973433766,-0.0605397245040096,0.40676985537201,0.855620519590944,0.00374398531141986,-0.00586748441629598,0.103248252023045,Y
HHT1,0.09614644402254,0.00714267675663857,-0.00108889754301624,0.231235381271908,0.90385355597746,-0.00253061066498956,0.000545375924428233,0.0647987425081671,Y
HNT3,0.120890795183363,-0.0574997099059019,0.0145585827256047,0.298257152541288,0.879109204816637,-0.000169550722950206,0.000642938108934157,0.0737337641256677,Y
HOG1,0.0937247165139913,-0.0832366097820416,0.0162202237193433,0.435508446921005,0.906275283486009,-0.00194849482516092,-0.0008375037839096,0.0752600820386832,Y
HHF1,0.89955274636334,-0.00380309819458112,3.61718447300082e-05,0.0759580771323121,0.10044725363666,0.1028631429995,-0.0110978416883334,0.21773406289328,Y
HOS3,0.922089546716556,0.00722602841528625,-0.00172843590012912,0.0728181137538455,0.0779104532834436,-0.120288258465831,-0.00992956349401213,0.352610341240291,Y
HOM2,0.128307259610462,0.316176984591408,0.00572017004712228,0.505050064876392,0.871692740389538,-0.00325672036771607,-0.00615590462123532,0.106486112077918,Y
HUR1,0.174163233640107,0.270554020968082,-0.0298941030507413,0.529868844427409,0.825836766359893,-0.00104384925266511,-0.00635322556671496,0.146209885795428,Y
KKQ8,0.125013847842379,-0.0469914130559035,0.00542096394702227,0.29344700950723,0.874986152157621,-0.000294247989314252,0.00235075843266987,0.0666176624717735,Y
INP52,0.10621291085956,-0.201430732068746,0.00529892404199935,0.481105239909839,0.89378708914044,-0.0108298726388412,0.00231830641877654,0.118323730436518,Y
IRC3,0.198281321747374,0.257565550828788,-0.0608635812440024,0.486216990255731,0.801718678252626,0.00712771728553308,-0.0112360119897135,0.144832918016327,Y
IRE1,0.879968366748276,-0.00108068372325439,-0.00311993835967072,0.131841675080579,0.120031633251724,-0.0805308703297772,0.0256387655840366,0.391725724986626,Y
IRA2,0.277772322977052,-0.198999856771703,-0.0109148268497655,0.576696147092843,0.722227677022948,0.00924987069456372,0.00190361700996144,0.233764270386195,Y
IPK1,0.819494177937527,0.0126923316658256,-0.0078470317766497,0.169286269627644,0.180505822062473,0.311461734779603,-0.0255692617364585,0.749263730358787,Y
IRA1,0.843397223042144,-0.0132324810783637,0.00157005401157703,0.133216843379813,0.156602776957856,-0.0890436336353045,-0.0110919476489738,0.59102708510047,Y
JJJ1,0.819087528719239,0.00714755329012381,-0.00155488348936575,0.0946886738430249,0.180912471280761,0.127504392202038,-0.00718235270404669,0.32545301275912,Y
IST3,0.205222680793876,0.0145549188443938,0.00378736322143018,0.34762668632976,0.794777319206124,0.00725769818352477,-0.000501422992836759,0.109760050267401,Y
IRS4,0.114031768353056,0.0738058083199943,-0.0221786183148962,0.371296182844723,0.885968231646944,-0.0023065309660172,-0.00203073801174008,0.0754403923567346,Y
JNM1,0.888089077840116,0.00296868053223808,-0.00334316828718803,0.0899385908352336,0.111910922159884,0.186124330394627,-0.0179139626160595,0.316586045456375,Y
KAR3,0.0820518500822955,0.21479811026884,-0.0969156163431873,0.787005773822146,0.917948149917704,0.0148486390018296,-0.00664548815131121,0.136808623003856,Y
RRD1,0.131667294736053,-0.0363741567505299,0.0420000922908861,0.288372184377374,0.868332705263947,-0.000594463366581924,-0.000947230261316675,0.0813531763546768,Y
RRP8,0.0870121227507504,0.00381714602249663,-0.000946551424420021,0.394484242798929,0.91298787724925,0.00321018462083087,0.00295718038531504,0.100084939402987,Y
RSA1,0.140409630671118,-0.273328950649531,0.0148215472729361,0.636544453836499,0.859590369328882,-0.00704065282660256,0.00574800483091255,0.200721144015395,Y
RRP6,0.119538749075924,0.156501988090666,0.0503111226275405,0.639314765436111,0.880461250924076,-0.0101580580289784,-0.0028902150556449,0.178287812326935,Y
RRM3,0.0985188809946096,-0.00770441655006448,0.0486957663100931,0.341734754348142,0.90148111900539,-0.00357002037131681,-0.000155817799287497,0.0891384025704813,Y
RPB9,0.795454471521697,0.0200986373501321,-0.0102467693099396,0.258217146837078,0.204545528478303,-0.0153895201801344,-0.0524994143978869,0.79109599065133,Y
RNY1,0.81972512503777,0.00836818306436114,-0.00981493774343963,0.153588561460071,0.18027487496223,0.32687578855026,-0.0614687676884603,0.574435894082734,Y
RPA49,0.0758128977316614,0.034998999952463,-0.00633620344454655,0.493310310397916,0.924187102268339,-0.00519029973615171,0.00104683124408759,0.139307707186572,Y
RPA14,0.875114281385211,-0.00175445398158696,-0.000147035057996834,0.082978260114872,0.124885718614789,-0.107064349983463,0.0295640019856955,0.314673561547094,Y
