,prob,cor,cor_sd,beta,beta_sd,pval_beta,pval_beta_sd,adjp_beta,adjp_beta_sd,ratio,ratio_sd
UFD4,0.5, 0.09715,2.191e-07, 0.030691,2.887e-07,4.774e-07,5.034e-11, 3.531,7.040e-04,0.07123,8.325e-07
ASK10,0.1,-0.08719,       NA,-0.037420,       NA,4.977e-07,       NA, 3.513,       NA,0.05640,       NA
GRR1,0.3,-0.10028,7.234e-07,-0.077780,6.756e-07,5.342e-07,6.843e-11, 3.482,7.563e-04,0.17647,2.050e-06
CLB1,0.6, 0.11095,6.870e-07, 0.027169,3.031e-07,5.547e-07,1.001e-10, 3.466,7.251e-04,0.07640,8.280e-07
HAP2,0.7,-0.06908,2.268e-07,-0.025619,2.043e-07,6.653e-07,4.478e-11, 3.387,6.865e-04,0.08019,1.205e-06
PTH2,0.7,-0.06983,5.345e-08,-0.023811,2.573e-08,7.015e-07,1.178e-11, 3.363,6.666e-04,0.05709,7.868e-08
OPI3,0.6,-0.08596,1.095e-06,-0.070444,1.517e-06,8.607e-07,2.846e-10, 3.275,7.401e-04,0.24449,7.632e-06
UBP8,1.0,-0.11592,7.725e-02,-0.017146,1.645e-02,8.954e-07,6.179e-07,10.526,1.195e+01,0.64052,3.610e-01
SEM1,0.5,-0.09052,5.477e-08,-0.036055,2.950e-08,9.421e-07,1.064e-11, 3.236,7.075e-04,0.11126,1.095e-07
HHF1,1.0,-0.06810,1.666e-02,-0.005846,3.317e-03,9.999e-07,4.859e-08, 3.210,1.963e-02,0.84010,2.669e-01
SWD3,0.3,-0.09928,0.000e+00,-0.034338,1.732e-08,1.271e-06,0.000e+00, 3.106,8.141e-04,0.11480,1.155e-07
OCA6,0.3, 0.05274,5.774e-08, 0.024651,2.646e-08,1.313e-06,2.646e-11, 3.091,6.950e-04,0.07271,1.155e-07
TSL1,0.5,-0.10274,4.472e-08,-0.034106,2.191e-08,1.473e-06,1.517e-11, 3.041,6.284e-04,0.22394,1.517e-07
SIR4,0.8, 0.09129,1.753e-07, 0.063810,3.524e-07,1.615e-06,1.250e-10, 3.001,6.345e-04,0.05855,2.964e-07
