,soft_cor_c1,soft_beta_c1,soft_pval_c1,soft_cor_c2,soft_beta_c2,soft_pval_c2,hard_cor_c1,hard_beta_c1,hard_pval_c1,hard_cor_c2,hard_beta_c2,hard_pval_c2,soft_adjp_c1,soft_adjp_c2,hard_adjp_c1,hard_adjp_c2,ratio_1,ratio_2
PCL6,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,         NA,          NA,          NA,         NA,         NA,         NA,        NA,        NA,0.98026872,0.01973128
PBS2, 8.30287e-02, 3.41956e-02, 1.59732e-07, 0.045270359, 3.59026e-03, 8.80202e-03, 0.101706413, 4.36386e-02,2.07939e-01, 0.048287058, 3.99297e-03,4.48621e-03,  4.0772756,0.00000e+00, 0.0000000, 0.0000000,0.06117850,0.93882150
PBP1,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,         NA,          NA,          NA,         NA,         NA,         NA,        NA,        NA,0.96608760,0.03391240
PAT1,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,         NA,          NA,          NA,         NA,         NA,         NA,        NA,        NA,0.04089237,0.95910763
PAP2,-4.06745e-02,-9.26866e-03, 1.67763e-01, 0.130409399, 1.45348e-02, 3.61486e-12,-0.058142495,-2.79925e-02,3.31487e-01, 0.123328627, 1.56759e-02,8.81401e-13,  0.0000000,8.72258e+00, 0.0000000, 9.3354950,0.13964099,0.86035901
OPI1,-4.52195e-02,-8.19347e-03, 3.02657e-02, 0.286790431, 1.52290e-01, 1.73048e-38,-0.033701215,-7.73191e-03,5.12645e-02, 0.248572996, 2.01220e-01,3.49966e-05,  0.0000000,3.50425e+01, 0.0000000, 1.7366425,0.86686611,0.13313389
OCA6,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,         NA,          NA,          NA,         NA,         NA,         NA,        NA,        NA,0.04926175,0.95073825
OCA4, 9.92089e-02, 9.66576e-03, 6.42995e-02,-0.060085134,-5.34759e-03, 2.81570e-04, 0.005632238, 1.98688e-03,9.48502e-01,-0.056841311,-5.07417e-03,7.90471e-04,  0.0000000,8.31083e-01, 0.0000000, 0.3827826,0.06341766,0.93658234
OCA5,-8.85496e-02,-7.36718e-03, 2.92057e-07, 0.189004504, 2.81915e-02, 7.39547e-11,-0.070091094,-6.12047e-03,3.74156e-05, 0.063559072, 1.80160e-02,4.20221e-01,  3.8152018,7.41170e+00, 1.7076165, 0.0000000,0.91704675,0.08295325
OCA2, 1.52634e-01, 1.88033e-02, 1.07279e-08,-0.094887419,-7.15174e-03, 9.43379e-07, 0.118142706, 2.76097e-02,8.24957e-02,-0.072261395,-6.37888e-03,2.47035e-05,  5.2501549,3.30598e+00, 0.0000000, 1.8879110,0.13910754,0.86089246
OCA1,-1.15543e-01,-1.06216e-02, 1.00169e-09, 0.323999955, 5.35514e-02, 3.10622e-39,-0.111511324,-1.18321e-02,3.85083e-11, 0.339050049, 9.67289e-02,1.24994e-04,  6.2799361,3.57884e+01, 7.6951143, 1.1837808,0.91927212,0.08072788
NUP60, 1.25369e-01, 2.88857e-02, 4.82473e-07,-0.116551974,-1.80767e-02, 1.90878e-11, 0.066097763, 1.77586e-02,4.51446e-01,-0.120552542,-1.97419e-02,9.32049e-13,  3.5971956,7.99991e+00, 0.0000000, 9.3112299,0.07022683,0.92977317
NUP170,-3.20918e-01,-1.25841e-01, 2.55721e-55,-0.104378085,-1.46113e-02, 1.30869e-10,-0.286536316,-1.66600e-01,3.89842e-05,-0.107908758,-1.49051e-02,2.54905e-10, 51.8729030,7.16383e+00, 1.6897804, 6.8742904,0.09611584,0.90388416
NUP188,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,         NA,          NA,          NA,         NA,         NA,         NA,        NA,        NA,0.03535345,0.96464655
NUP120,-1.16093e-01,-1.64496e-02, 1.24924e-11,-0.030781238,-2.59204e-02, 1.34577e-04,-0.116183789,-1.71243e-02,5.71656e-12,-0.101661132,-4.55463e-02,2.59272e-01,  8.1840219,1.15170e+00, 8.5235338, 0.0000000,0.93522971,0.06477029
NTH2, 6.15675e-02, 6.28384e-03, 5.25538e-04,-0.270358796,-6.45951e-02, 3.04014e-30, 0.050714260, 5.58843e-03,2.89416e-03,-0.214291971,-8.48348e-02,5.14686e-03,  0.5600644,2.67978e+01, 0.0000000, 0.0000000,0.91161908,0.08838092
NPR2,-4.63026e-02,-3.04329e-03, 7.37236e-03, 0.039543035,-3.82339e-03, 2.73103e-01,-0.045454205,-3.15612e-03,7.08134e-03,-0.052981737,-1.20779e-02,5.86044e-01,  0.0000000,0.00000e+00, 0.0000000, 0.0000000,0.94259278,0.05740722
NRP1,-1.98792e-02,-1.91939e-03, 9.94952e-02,-0.200973972,-4.35664e-02, 3.22657e-27,-0.031272513,-2.20954e-03,6.69374e-02,-0.190813475,-5.13522e-02,9.47108e-03,  0.0000000,2.37719e+01, 0.0000000, 0.0000000,0.91549605,0.08450395
NOP6,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,         NA,          NA,          NA,         NA,         NA,         NA,        NA,        NA,0.03659810,0.96340190
NPT1,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,         NA,          NA,          NA,         NA,         NA,         NA,        NA,        NA,0.03437189,0.96562811
NMD2,-6.62366e-02,-1.21951e-02, 9.74404e-02, 0.109700868, 1.47235e-02, 3.21787e-10,-0.040785356,-1.72788e-02,3.98324e-01, 0.104995479, 1.47484e-02,2.84094e-09,  0.0000000,6.77310e+00, 0.0000000, 5.8272061,0.17746265,0.82253735
NPL3, 1.46933e-01, 8.87584e-02, 4.49537e-11,-0.063463730,-1.67502e-02, 1.19245e-03, 0.137377832, 1.27355e-01,6.51571e-02,-0.046864328,-1.48369e-02,6.00377e-03,  7.6279034,2.04227e-01, 0.0000000, 0.0000000,0.10918712,0.89081288
NOP12,-4.71944e-02,-5.58585e-03, 4.01415e-03, 0.081437864, 1.34592e-02, 3.00056e-02,-0.044852102,-5.28576e-03,8.18427e-03, 0.030392671, 1.21781e-02,7.19556e-01,  0.0000000,0.00000e+00, 0.0000000, 0.0000000,0.93102262,0.06897738
NKP2,-4.97947e-02,-6.28876e-03, 2.58176e-03,-0.115038887,-2.25933e-02, 7.43463e-07,-0.056315540,-7.12563e-03,9.69876e-04,-0.096901460,-3.28004e-02,1.85869e-01,  0.0000000,3.40941e+00, 0.2939523, 0.0000000,0.86469779,0.13530221
NEW1,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,         NA,          NA,          NA,         NA,         NA,         NA,        NA,        NA,0.95043437,0.04956563
NBP2, 2.66124e-02, 3.77905e-03, 1.30113e-01,-0.131216230,-4.03892e-02, 2.29676e-07, 0.023816785, 3.61492e-03,1.58740e-01,-0.080623031,-4.18497e-02,3.93814e-01,  0.0000000,3.91955e+00, 0.0000000, 0.0000000,0.94072526,0.05927474
