,soft_cor_c1,soft_beta_c1,soft_pval_c1,soft_cor_c2,soft_beta_c2,soft_pval_c2,hard_cor_c1,hard_beta_c1,hard_pval_c1,hard_cor_c2,hard_beta_c2,hard_pval_c2,soft_adjp_c1,soft_adjp_c2,hard_adjp_c1,hard_adjp_c2,ratio_1,ratio_2
IES3,-3.34486e-02,-1.62851e-02, 1.06723e-01,-2.46434e-02,-3.29045e-03,1.30613e-01,-6.50918e-03,-5.98060e-03,9.24227e-01,-2.92068e-02,-3.67215e-03,1.04484e-01,  0.0000000, 0.0000000,0.0000000,0.0000000,0.11236817,0.8876318
IOC3,          NA,          NA,          NA,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,         NA,        NA,       NA,       NA,0.03545393,0.9645461
IES2,-9.90125e-02,-5.12347e-02, 7.11662e-05, 5.53003e-02, 8.42905e-03,5.19851e-03,-1.59272e-01,-1.61803e-01,3.47358e-02, 5.36452e-02, 9.35666e-03,2.67595e-03,  1.4137267, 0.0000000,0.0000000,0.0000000,0.09279697,0.9072030
HOS2, 4.20623e-03, 7.26363e-03, 1.45006e-01, 9.16900e-03, 1.39059e-03,4.71956e-01, 7.36572e-02, 2.73879e-02,4.61893e-01, 1.40761e-02, 1.60254e-03,4.25675e-01,  0.0000000, 0.0000000,0.0000000,0.0000000,0.09074408,0.9092559
IES6, 2.60986e-02, 5.39461e-03, 2.27367e-01,-5.67520e-02,-2.87079e-02,5.86880e-02, 2.93514e-02, 7.61218e-03,1.03785e-01,-9.45931e-02,-1.32937e-01,1.49166e-01,  0.0000000, 0.0000000,0.0000000,0.0000000,0.85069869,0.1493013
IES1,-4.02700e-03,-4.37461e-03, 4.87783e-01,-4.44482e-02,-3.48260e-03,1.25412e-02,-1.96566e-02,-1.09466e-02,8.14465e-01,-4.13121e-02,-3.34252e-03,2.01726e-02,  0.0000000, 0.0000000,0.0000000,0.0000000,0.07974870,0.9202513
HPC2,          NA,          NA,          NA,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,         NA,        NA,       NA,       NA,0.95772630,0.0422737
HIR1,          NA,          NA,          NA,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,         NA,        NA,       NA,       NA,0.95492565,0.0450743
HIR2,          NA,          NA,          NA,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,         NA,        NA,       NA,       NA,0.95260756,0.0473924
HDA2,-1.20799e-01,-3.11760e-02, 2.96407e-05,-7.80459e-02,-7.26610e-03,1.05173e-05,-5.99795e-02,-3.54040e-02,4.44103e-01,-7.61908e-02,-7.27701e-03,1.90898e-05,  1.7941125, 2.2440953,0.0000000,1.9851991,0.08388190,0.9161181
