,cor_c1,pval_cor_c1,beta_c1,pval_beta_c1,cor_c2,pval_cor_c2,beta_c2,pval_beta_c2,adjp_c1,adjp_c2
YPK1,0.0145126,0.279665,0.00258461,0.279665,-0.0282639,0.505995,-0.0206738,0.505995,0,0
SWM2,-0.000792804,0.951757,-8.34824E-05,0.951757,0.0946103,0.113549,0.0377243,0.113549,0,0
RRG9,0.00795924,0.55657,0.001471,0.55657,-0.0927745,0.0181674,-0.0872133,0.0181674,0,0
HER2,-0.0608945,4.7212E-06,-0.0030214,4.7212E-06,0.0690209,0.136822,0.0202564,0.136822,2.48147,0
YLH47,0.102274,0.0810306,0.0572909,0.0810306,0.0220294,0.0930121,0.00162751,0.0930121,0,0
YKR023W,2.67198E-05,0.999492,1.54822E-05,0.999492,-0.0379744,0.0047119,-0.00410786,0.0047119,0,0
YIL001W,0.0737366,0.342166,0.0288113,0.342166,-0.0122105,0.346787,-0.000847688,0.346787,0,0
YHR033W,0.0203091,0.116122,0.00143864,0.116122,0.0306327,0.739791,0.026442,0.739791,0,0
YGR122W,-0.00205097,0.875068,-0.000169509,0.875068,-0.0869957,0.190579,-0.0672576,0.190579,0,0
VHR2,0.0576628,0.436868,0.0257306,0.436868,0.0210007,0.106079,0.00118648,0.106079,0,0
YCK3,0.0152087,0.828647,0.00985384,0.828647,-0.0140118,0.281806,-0.00106264,0.281806,0,0
YBR285W,-0.0516207,0.324702,-0.0311389,0.324702,-0.00268482,0.838836,-0.000322641,0.838836,0,0
YBP2,0.0103796,0.434148,0.000720567,0.434148,0.056107,0.24731,0.0199589,0.24731,0,0
VPS4,-0.0152944,0.798528,-0.00918868,0.798528,-0.0343404,0.00875818,-0.00403801,0.00875818,0,0
VPS15,-0.00257635,0.848044,-0.00058868,0.848044,0.0287921,0.49155,0.0246448,0.49155,0,0
VPS1,-0.0166785,0.206596,-0.00224417,0.206596,0.0350733,0.500637,0.0209164,0.500637,0,0
VHR1,-0.0360486,0.629005,-0.0239281,0.629005,-0.00450081,0.729062,-0.000230769,0.729062,0,0
VAM3,-0.031373,0.0161825,-0.00235449,0.0161825,0.0684249,0.299361,0.0255633,0.299361,0,0
URN1,0.00595118,0.892828,0.00310949,0.892828,-0.0364657,0.00638763,-0.00375657,0.00638763,0,0
UPF3,-0.0361892,0.01057,-0.00628505,0.01057,-0.0184946,0.536919,-0.00969651,0.536919,0,0
VAC8,0.0106628,0.423185,0.00125202,0.423185,0.0149589,0.748191,0.0101574,0.748191,0,0
URA7,-0.0205333,0.11637,-0.00168042,0.11637,0.0995844,0.110541,0.0463814,0.110541,0,0
UAF30,0.00125429,0.975357,0.000803613,0.975357,-0.0134481,0.318778,-0.00198322,0.318778,0,0
TSR2,0.0108424,0.846801,0.00585726,0.846801,-0.00671073,0.609774,-0.000925929,0.609774,0,0
TRM10,0.0254865,0.577119,0.0160994,0.577119,-0.0541837,4.77807E-05,-0.00670223,4.77807E-05,0,1.4762708
TUB3,-0.00942646,0.480251,-0.00128409,0.480251,-0.0160687,0.720831,-0.0109292,0.720831,0,0
TSL1,0.024037,0.0790286,0.00433733,0.0790286,-0.0972621,0.00702513,-0.071705,0.00702513,0,0
TRM1,0.00175162,0.892294,0.000122144,0.892294,0.096719,0.275544,0.0529234,0.275544,0,0
TPS2,-0.00119917,0.928162,-0.000179159,0.928162,-0.0565301,0.230342,-0.0445856,0.230342,0,0
TPK3,-0.012124,0.352252,-0.001043,0.352252,0.104716,0.123204,0.0521685,0.123204,0,0
TMA22,0.041591,0.371393,0.0164861,0.371393,-0.0220451,0.0977507,-0.00219789,0.0977507,0,0
TOP3,-0.0138168,0.293223,-0.00158842,0.293223,-0.0111889,0.842461,-0.00549391,0.842461,0,0
TMA23,-0.00736456,0.583022,-0.000915953,0.583022,-0.0161418,0.70615,-0.00904141,0.70615,0,0
THR4,-0.00434112,0.741877,-0.000472978,0.741877,0.047777,0.374234,0.0281002,0.374234,0,0
TLC1,-0.0225367,0.0995564,-0.00615061,0.0995564,-0.0425284,0.240041,-0.0373869,0.240041,0,0
THP2,-0.0999,0.250776,-0.0805195,0.250776,0.00638421,0.621796,0.000652159,0.621796,0,0
THR1,-0.00318457,0.950794,-0.00206688,0.950794,-0.00891388,0.499956,-0.000941571,0.499956,0,0
TIP41,0.182878,0.00285903,0.0771367,0.00285903,-0.0395303,0.00250933,-0.00337468,0.00250933,0,0
TIF2,0.14316,0.183313,0.099127,0.183313,-0.0171444,0.183544,-0.00164344,0.183544,0,0
TGS1,-0.0413603,0.331189,-0.0199578,0.331189,0.0278263,0.0381254,0.00335553,0.0381254,0,0
THP1,0.0382321,0.00427552,0.00948502,0.00427552,-0.0868757,0.0468466,-0.0806622,0.0468466,0,0
TCO89,-0.0357678,0.00736267,-0.00510032,0.00736267,0.0104141,0.817404,0.00786129,0.817404,0,0
SXM1,-0.00869194,0.506986,-0.000849931,0.506986,0.00956387,0.874096,0.00554188,0.874096,0,0
SYC1,0.0274715,0.0391261,0.00256924,0.0391261,-0.00239902,0.95872,-0.00123873,0.95872,0,0
SWI6,-0.0733822,6.5536E-08,-0.0123154,6.5536E-08,-0.0670106,0.076858,-0.0422026,0.076858,4.33904,0
SUB1,-0.00524389,0.934383,-0.0024976,0.934383,-0.0144481,0.268881,-0.00128511,0.268881,0,0
STE7,-0.0713025,0.459162,-0.0859053,0.459162,-0.023745,0.0659602,-0.00280029,0.0659602,0,0
STM1,0.0069682,0.950458,0.00660326,0.950458,-0.020302,0.115096,-0.00235848,0.115096,0,0
STE50,0.0564793,0.445103,0.0377902,0.445103,-0.0146448,0.259824,-0.000920014,0.259824,0,0
STE20,0.034066,0.570274,0.0182601,0.570274,-0.00904353,0.490067,-0.000522561,0.490067,0,0
STE11,-0.0322149,0.0135282,-0.00290452,0.0135282,-0.0134367,0.83904,-0.0112971,0.83904,0,0
STE14,0.0846532,0.314788,0.0518573,0.314788,-0.00527417,0.683842,-0.000477796,0.683842,0,0
SSK2,-0.00455065,0.729984,-0.000364044,0.729984,-0.00532704,0.92067,-0.00284109,0.92067,0,0
SSK1,0.0460289,0.370901,0.0187408,0.370901,0.00325287,0.805594,0.000209243,0.805594,0,0
SSF1,-0.0463461,0.341087,-0.0210463,0.341087,0.0105829,0.425077,0.0010517,0.425077,0,0
SRO9,-0.0506978,0.483807,-0.0322117,0.483807,-0.00901048,0.488437,-0.00158428,0.488437,0,0
SPT4,-0.0703686,0.174466,-0.0556326,0.174466,0.0079425,0.547668,0.00129385,0.547668,0,0
SPT23,0.0357905,0.633371,0.0178038,0.633371,-0.0216363,0.0958014,-0.00162628,0.0958014,0,0
SPT21,-0.0336597,0.0122444,-0.00663698,0.0122444,-0.00623015,0.882116,-0.00354674,0.882116,0,0
SNF4,0.0290358,0.654466,0.0168534,0.654466,0.0042745,0.743409,0.000416947,0.743409,0,0
SNT309,-0.00131684,0.921778,-0.000225859,0.921778,-0.0336194,0.433892,-0.0239271,0.433892,0,0
SNF1,-0.00396218,0.759956,-0.00044335,0.759956,0.0337616,0.673663,0.0258322,0.673663,0,0
SMI1,-0.024334,0.0642356,-0.00221371,0.0642356,-0.054843,0.32582,-0.0280499,0.32582,0,0
SLX9,-0.0433499,0.492442,-0.0260949,0.492442,-0.00555566,0.670848,-0.000566507,0.670848,0,0
SKI3,-0.0102189,0.430173,-0.00120351,0.430173,-0.0255821,0.760036,-0.0156899,0.760036,0,0
SLT2,-0.000963656,0.941237,-6.25713E-05,0.941237,-0.0124397,0.843911,-0.00517256,0.843911,0,0
SKY1,-0.0864892,0.18547,-0.0535426,0.18547,0.00499171,0.702166,0.000614616,0.702166,0,0
SIW14,0.0272918,0.0375881,0.00273566,0.0375881,0.0866299,0.133084,0.0409029,0.133084,0,0
SIT4,0.0219507,0.0975621,0.00443214,0.0975621,-0.0336508,0.497356,-0.0330316,0.497356,0,0
SIS2,0.0140962,0.320342,0.00213187,0.320342,-0.0599282,0.0435332,-0.0414663,0.0435332,0,0
SHR5,-0.0224073,0.0872095,-0.0020185,0.0872095,-0.0326628,0.586267,-0.0174906,0.586267,0,0
SGS1,-0.00974349,0.458342,-0.00111172,0.458342,0.0469532,0.408529,0.0230137,0.408529,0,0
SER2,-0.0384865,0.461081,-0.0142052,0.461081,-0.026347,0.0459681,-0.00182245,0.0459681,0,0
SEH1,-0.0272885,0.642942,-0.0243474,0.642942,-0.0310266,0.0179701,-0.00449446,0.0179701,0,0
SET4,-0.00455493,0.733517,-0.000429884,0.733517,0.00814797,0.853229,0.00412309,0.853229,0,0
SAT4,0.0466061,0.481839,0.026672,0.481839,-0.0296437,0.0230535,-0.00240417,0.0230535,0,0
SAP190,0.0361369,0.00521183,0.00368407,0.00521183,-0.10577,0.22742,-0.087798,0.22742,0,0
SBP1,0.00502866,0.699485,0.000529552,0.699485,-0.1443,0.0357625,-0.104361,0.0357625,0,0
SCS2,0.00206844,0.874013,0.000181759,0.874013,-0.0845116,0.203601,-0.041259,0.203601,0,0
SAP155,-0.044516,0.000780134,-0.00471876,0.000780134,-0.0374271,0.447558,-0.0235658,0.447558,0.263354,0
SCP160,0.113523,0.131351,0.0503507,0.131351,-0.00784957,0.545645,-0.000824056,0.545645,0,0
SAM4,-0.00796574,0.54333,-0.00106355,0.54333,-0.0689488,0.247624,-0.0544832,0.247624,0,0
RTT103,-0.025976,0.443098,-0.0124263,0.443098,-0.0043632,0.752338,-0.00040526,0.752338,0,0
SAM1,-0.0169705,0.19163,-0.00101391,0.19163,0.0147537,0.84201,0.010339,0.84201,0,0
SAC1,0.00115309,0.979502,0.00056499,0.979502,-0.0235845,0.0773933,-0.0020961,0.0773933,0,0
RTS1,0.0874878,0.0667347,0.0519986,0.0667347,-0.0339517,0.0105872,-0.00338289,0.0105872,0,0
SAC3,-0.0986454,0.0388285,-0.0792734,0.0388285,0.0145912,0.272059,0.0026593,0.272059,0,0
RTR1,0.0936362,7.4718E-13,0.0104574,7.47185E-13,-0.134427,0.0283744,-0.0593961,0.0283744,9.2821,0
RTT107,-0.0130145,0.322947,-0.00109449,0.322947,-0.0567932,0.298549,-0.0218958,0.298549,0,0
KAP120,-0.00497618,0.709915,-0.000794744,0.709915,-0.00625747,0.88713,-0.00399946,0.88713,0,0
ACO1,-0.000748169,0.955858,-0.0001975,0.955858,-0.0433729,0.276654,-0.0448728,0.276654,0,0
AIM1,-0.0150439,0.243616,-0.000693493,0.243616,-0.317412,0.00144915,-0.171128,0.00144915,0,0
APN2,-0.0269911,0.0389501,-0.0017512,0.0389501,0.050223,0.424545,0.0197122,0.424545,0,0
ASK10,-0.0120714,0.354017,-0.00128354,0.354017,-0.0592782,0.392747,-0.0431962,0.392747,0,0
APQ12,0.00471821,0.924866,0.00262353,0.924866,0.0163928,0.215723,0.00169788,0.215723,0,0
ARG82,0.00314482,0.812947,0.000590179,0.812947,-0.0273058,0.566507,-0.0329533,0.566507,0,0
ATG21,0.00455041,0.726728,0.000333294,0.726728,-0.0382017,0.585643,-0.0150913,0.585643,0,0
ATG23,0.0113017,0.391329,0.000839513,0.391329,0.0176861,0.740897,0.0101443,0.740897,0,0
ASC1,-0.0372121,0.463696,-0.0312134,0.463696,-0.0243993,0.0650784,-0.00489677,0.0650784,0,0
ATG32,0.0101093,0.439677,0.000815045,0.439677,-0.0116875,0.850657,-0.00738242,0.850657,0,0
ARX1,-0.00386701,0.768616,-0.000405309,0.768616,-0.060498,0.282883,-0.031041,0.282883,0,0
BCS1,-0.0141699,0.272816,-0.00152691,0.272816,-0.14368,0.123874,-0.0681093,0.123874,0,0
BCY1,-0.00616075,0.64761,-0.00174882,0.64761,-0.0335964,0.411387,-0.0407894,0.411387,0,0
BIK1,-0.00759921,0.558266,-0.00060751,0.558266,0.127623,0.0972151,0.0473603,0.0972151,0,0
RTC1,0.0226058,0.0860066,0.0016577,0.0860066,-0.0452844,0.406603,-0.030985,0.406603,0,0
ASI2,-0.00555293,0.672221,-0.000496413,0.672221,0.0248949,0.668115,0.0118629,0.668115,0,0
ADD66,-0.0325927,0.566276,-0.0186457,0.566276,-0.00543327,0.679225,-0.000574651,0.679225,0,0
APC9,0.00564733,0.671521,0.000361997,0.671521,0.030976,0.504744,0.0105704,0.504744,0,0
ASE1,-0.0308854,0.0185404,-0.00188286,0.0185404,-0.0127685,0.827129,-0.00517182,0.827129,0,0
BUL1,0.0453735,0.484169,0.0331208,0.484169,0.0108698,0.405163,0.000889748,0.405163,0,0
CDC26,-0.0322561,0.0146754,-0.00326073,0.0146754,-0.00662402,0.897055,-0.00268988,0.897055,0,0
BRE5,0.00991065,0.450199,0.00200825,0.450199,0.0225347,0.697474,0.0201309,0.697474,0,0
DMA1,-0.109828,0.563438,-0.114001,0.563438,-0.0213391,0.0962446,-0.003282,0.0962446,0,0
ATG10,0.0547478,0.314157,0.0183194,0.314157,-0.019863,0.131495,-0.00167086,0.131495,0,0
BMH1,-0.0385944,0.571762,-0.0319045,0.571762,0.0320992,0.0137546,0.00444945,0.0137546,0,0
CPR6,0.137646,0.0617055,0.0742044,0.0617055,-0.0106896,0.410814,-0.000758333,0.410814,0,0
BRO1,-0.0206884,0.728945,-0.0132408,0.728945,0.00706727,0.589727,0.000805179,0.589727,0,0
CDH1,-0.0454148,0.000622488,-0.00412736,0.000622488,0.0463932,0.334932,0.0227199,0.334932,0.361392,0
CUE1,0.0362229,0.658807,0.0207285,0.658807,-0.0277876,0.0319949,-0.00172922,0.0319949,0,0
DID4,0.00436173,0.741674,0.000873344,0.741674,0.0511109,0.312176,0.0404329,0.312176,0,0
DOC1,-0.0328271,0.0144761,-0.00568929,0.0144761,0.00926085,0.827063,0.00614727,0.827063,0,0
DOA1,0.0277396,0.661207,0.0189968,0.661207,0.0167927,0.198875,0.00193889,0.198875,0,0
ECM30,-0.00300358,0.819273,-0.000202207,0.819273,-0.0413965,0.461966,-0.0215663,0.461966,0,0
DEF1,-0.0175613,0.185996,-0.00490882,0.185996,0.0077502,0.872098,0.00814925,0.872098,0,0
ELC1,-0.0324385,0.58155,-0.00947599,0.58155,-0.0239475,0.0678243,-0.00179668,0.0678243,0,0
ELA1,-0.00484697,0.713776,-0.000376598,0.713776,-0.0498332,0.333914,-0.0178873,0.333914,0,0
ELP2,0.0797024,0.235856,0.0574515,0.235856,-0.00739854,0.570437,-0.00121448,0.570437,0,0
ELP4,-0.00931675,0.481049,-0.00135787,0.481049,0.0357185,0.484683,0.0260979,0.484683,0,0
ELP6,0.0433775,0.398496,0.0379082,0.398496,-0.00913708,0.489396,-0.00181075,0.489396,0,0
EDE1,-0.0330909,0.445406,-0.013998,0.445406,-0.0231624,0.0838137,-0.00206156,0.0838137,0,0
ESC2,0.00216757,0.869664,0.000246863,0.869664,-0.00991814,0.848392,-0.0064038,0.848392,0,0
GGA2,0.00345652,0.789337,0.00023122,0.789337,-0.0286844,0.745968,-0.0151853,0.745968,0,0
GRR1,0.025992,0.0570656,0.00662515,0.0570656,-0.0692748,0.058428,-0.0956477,0.058428,0,0
HSE1,0.0127073,0.342333,0.00253505,0.342333,-0.0447803,0.30764,-0.0325125,0.30764,0,0
HSC82,-0.00438061,0.73994,-0.000399943,0.73994,-0.0621844,0.237273,-0.0299567,0.237273,0,0
IRC25,-0.00579364,0.665947,-0.000656903,0.665947,-0.0438225,0.304065,-0.018624,0.304065,0,0
ITT1,0.0136049,0.332208,0.00114077,0.332208,-0.030843,0.323894,-0.00664796,0.323894,0,0
KTI12,-0.0521332,0.373913,-0.0292583,0.373913,0.00665541,0.611896,0.000741867,0.611896,0,0
IKI1,-0.0719967,0.3014,-0.05037,0.3014,0.0115116,0.376701,0.00180484,0.376701,0,0
MUB1,-0.0113592,0.387282,-0.00113041,0.387282,0.00032603,0.995424,0.000138599,0.995424,0,0
MDM30,0.00910317,0.488258,0.0010285,0.488258,-0.0361631,0.5272,-0.0164177,0.5272,0,0
MFB1,-0.00286343,0.825082,-0.000264707,0.825082,-0.00959918,0.908134,-0.00442036,0.908134,0,0
NCS2,-0.0838101,0.111411,-0.05104,0.111411,0.0194889,0.139677,0.0026338,0.139677,0,0
NCS6,-0.114818,0.0143724,-0.0659391,0.0143724,0.0172161,0.195587,0.00230368,0.195587,0,0
NFI1,-0.0167533,0.203936,-0.00156193,0.203936,-0.0178679,0.737251,-0.0075789,0.737251,0,0
PBA1,0.0153289,0.831998,0.00559831,0.831998,-0.0213036,0.101421,-0.00164515,0.101421,0,0
PEP3,-0.0198363,0.134727,-0.00279349,0.134727,0.0768054,0.116026,0.0630362,0.116026,0,0
PEX10,-0.00809933,0.530941,-0.000883338,0.530941,0.109937,0.231963,0.0753255,0.231963,0,0
PEP5,0.0255507,0.598529,0.0194999,0.598529,-0.0200486,0.13084,-0.00272934,0.13084,0,0
PEX12,-0.0466946,0.589324,-0.0219744,0.589324,0.00540017,0.676533,0.000280972,0.676533,0,0
PEX2,-0.0218762,0.726549,-0.0107781,0.726549,-0.0128843,0.324521,-0.000739304,0.324521,0,0
PEX22,0.0200776,0.121148,0.00147878,0.121148,0.0957607,0.250234,0.0549319,0.250234,0,0
PEX4,0.157541,0.0149811,0.107396,0.0149811,-0.0259914,0.0464702,-0.00321034,0.0464702,0,0
PEX5,-0.0555359,3.95637E-05,-0.00597864,3.95637E-05,0.0247075,0.533963,0.0114588,0.533963,1.55823,0
RAD23,-0.0167812,0.800598,-0.00806155,0.800598,-0.00532381,0.683213,-0.000380442,0.683213,0,0
POC4,0.01929,0.151712,0.00194148,0.151712,0.0197007,0.634996,0.0105121,0.634996,0,0
PTH2,-0.00433403,0.739324,-0.00031703,0.739324,-0.0913777,0.187154,-0.0427273,0.187154,0,0
PRE9,0.00181263,0.892963,0.000328324,0.892963,-0.00643941,0.87555,-0.0042164,0.87555,0,0
RAD18,0.0605831,0.206754,0.027893,0.206754,-0.0136559,0.30386,-0.00167499,0.30386,0,0
RPN10,0.0194486,0.731382,0.0111319,0.731382,0.00856819,0.514394,0.00124728,0.514394,0,0
RAD5,0.00912113,0.487588,0.00115089,0.487588,-0.080584,0.154943,-0.0428177,0.154943,0,0
RCY1,0.0071272,0.593704,0.00149266,0.593704,-0.0458977,0.304736,-0.0359076,0.304736,0,0
RAD26,-0.110237,0.0953552,-0.0590022,0.0953552,-0.00995169,0.445601,-0.000903152,0.445601,0,0
ULS1,-0.122206,0.0631255,-0.0629688,0.0631255,0.00894602,0.492986,0.00073149,0.492986,0,0
RPN13,-0.000487647,0.972098,-6.40024E-05,0.972098,-0.0650657,0.0438526,-0.0436697,0.0438526,0,0
SLX5,0.00285734,0.830885,0.000711007,0.830885,-0.00681232,0.877079,-0.00490369,0.877079,0,0
SAN1,0.0209878,0.764611,0.0106123,0.764611,-0.00829674,0.523985,-0.000935362,0.523985,0,0
SLA1,-0.00765145,0.569513,-0.000841966,0.569513,0.0508558,0.221761,0.0229972,0.221761,0,0
SEM1,0.0044455,0.736784,0.000679601,0.736784,-0.0793006,0.118888,-0.0586232,0.118888,0,0
SLX8,0.999838,0,0.0166126,8.8247E-19,-0.0225354,0.0785411,-0.00708142,0.0785411,350,0
SNF8,-0.0201569,0.699551,-0.0190592,0.699551,-0.00957824,0.468203,-0.00125938,0.468203,0,0
SNF7,0.0255262,0.0524139,0.0037769,0.0524139,-0.101328,0.0651735,-0.105836,0.0651735,0,0
SWA2,-0.082108,0.0298435,-0.0750646,0.0298435,0.0166618,0.220582,0.00399157,0.220582,0,0
SWM1,-0.052218,0.295085,-0.0220839,0.295085,-0.0107987,0.414878,-0.000879337,0.414878,0,0
SRN2,0.00609586,0.642482,0.000406326,0.642482,0.0593831,0.30126,0.0299694,0.30126,0,0
STE5,0.00596861,0.917048,0.00460554,0.917048,-0.0203372,0.121463,-0.00164346,0.121463,0,0
SSM4,-0.0407046,0.00167329,-0.0029675,0.00167329,0.00761812,0.926782,0.00435053,0.926782,0,0
TOM1,-0.0595489,0.40827,-0.0469718,0.40827,-0.00701389,0.589758,-0.000945656,0.589758,0,0
UBA4,-0.00866343,0.872249,-0.00535524,0.872249,-0.000421977,0.974457,-6.00277E-05,0.974457,0,0
UBC4,-0.0329093,0.0119665,-0.00535467,0.0119665,0.0322086,0.594173,0.0230383,0.594173,0,0
UBA3,-0.0213002,0.108526,-0.00171838,0.108526,-0.0275551,0.56924,-0.0104847,0.56924,0,0
UBP1,0.02077,0.794331,0.00829119,0.794331,0.00141096,0.913373,8.93944E-05,0.913373,0,0
UBC6,-0.0413363,0.00141734,-0.00307589,0.00141734,0.0969862,0.237729,0.0582394,0.237729,0.00404841,0
UBP13,-0.0732146,0.266724,-0.0477948,0.266724,0.0193393,0.1383,0.00114256,0.1383,0,0
UBP10,-0.00185009,0.891277,-0.0002945,0.891277,-0.0330817,0.401232,-0.0259969,0.401232,0,0
UBC8,0.00318858,0.807962,0.000308559,0.807962,0.108958,0.0620627,0.0493583,0.0620627,0,0
UBP14,-0.00357854,0.784535,-0.000263763,0.784535,0.00343942,0.955392,0.00147345,0.955392,0,0
UBP15,-0.0174524,0.182623,-0.00178556,0.182623,-0.0360376,0.552516,-0.0280337,0.552516,0,0
UBP3,-0.116207,0.0496118,-0.122464,0.0496118,0.0426131,0.00114611,0.0111734,0.00114611,0,0.0962955
UBP16,0.130817,0.0144606,0.0569945,0.0144606,-0.013931,0.290544,-0.00115684,0.290544,0,0
UBP6,-0.0147341,0.259599,-0.00118239,0.259599,0.155079,0.0139111,0.0788088,0.0139111,0,0
UFD2,0.00688946,0.597682,0.000711229,0.597682,-0.00117448,0.985651,-0.000654018,0.985651,0,0
UBR2,-0.00215277,0.876828,-0.000240121,0.876828,-0.0137867,0.676056,-0.00585139,0.676056,0,0
UBX3,-0.0302801,0.571248,-0.0110954,0.571248,-0.0149242,0.257639,-0.00105643,0.257639,0,0
UBR1,-0.00925726,0.87788,-0.00388176,0.87788,-0.0242486,0.0641402,-0.00388448,0.0641402,0,0
UBX2,0.0101541,0.445766,0.00125583,0.445766,-0.00425967,0.926931,-0.00262603,0.926931,0,0
UFD4,0.0927529,0.118862,0.0550321,0.118862,-0.03221,0.013971,-0.00259583,0.013971,0,0
URE2,-0.0908022,0.0960819,-0.0649565,0.0960819,-0.00206156,0.875589,-0.000229772,0.875589,0,0
URM1,0.0634876,0.284597,0.0582307,0.284597,-0.0108777,0.406673,-0.00213489,0.406673,0,0
VAM6,-0.00163422,0.979489,-0.0008877,0.979489,0.00222701,0.864696,0.000194785,0.864696,0,0
VPS16,-0.00108042,0.935673,-0.000229524,0.935673,0.0193275,0.658915,0.0191419,0.658915,0,0
VPS24,0.0693409,0.125313,0.0339257,0.125313,-0.0184639,0.166477,-0.00141977,0.166477,0,0
VID28,0.0169698,0.200747,0.0014402,0.200747,0.0202316,0.678929,0.0113979,0.678929,0,0
VPS8,-0.0544399,0.24236,-0.0411028,0.24236,0.0126103,0.34354,0.00225905,0.34354,0,0
VPS27,0.0774848,0.221215,0.0518264,0.221215,-0.0109352,0.402784,-0.00131598,0.402784,0,0
VPS36,-0.032077,0.495387,-0.0286173,0.495387,0.00618594,0.641931,0.000702593,0.641931,0,0
VPS3,3.77883E-05,0.999274,2.7669E-05,0.999274,-0.0166345,0.216407,-0.00241461,0.216407,0,0
VPS41,0.00984151,0.453833,0.00152474,0.453833,-0.0323636,0.56901,-0.0225943,0.56901,0,0
VPS9,-0.0136095,0.299109,-0.00152282,0.299109,0.0139153,0.815388,0.00887075,0.815388,0,0
VPS28,-0.0157641,0.747944,-0.0127305,0.747944,-0.00323884,0.807046,-0.000308972,0.807046,0,0
WSS1,-0.00406659,0.755299,-0.000402698,0.755299,0.0434776,0.510841,0.0205421,0.510841,0,0
YDR306C,0.0229144,0.720632,0.00990577,0.720632,-0.0300451,0.0214372,-0.00235292,0.0214372,0,0
YLR352W,-0.010583,0.419024,-0.000976253,0.419024,-0.018694,0.758042,-0.00751547,0.758042,0,0
ETP1,-0.024645,0.0618265,-0.00187245,0.0618265,-0.0448905,0.393138,-0.0186107,0.393138,0,0
ARP8,-0.0505221,0.204655,-0.0340753,0.204655,0.00719113,0.59474,0.00110922,0.59474,0,0
YKU70,0.0783279,0.082941,0.0303409,0.082941,-0.00136078,0.918793,-7.61216E-05,0.918793,0,0
YKU80,0.0184569,0.163646,0.00121938,0.163646,0.0365442,0.460545,0.0140183,0.460545,0,0
UBP8,-0.108243,0.0530626,-0.0367933,0.0530626,-0.0450773,0.000603272,-0.00506976,0.000603272,0,0.37501
YAF9,-0.126134,0.0048604,-0.0715295,0.0048604,0.0222866,0.0950977,0.00267403,0.0950977,0,0
VPS72,-0.0842928,0.0811747,-0.0335033,0.0811747,0.0123233,0.35319,0.00121453,0.35319,0,0
VPS71,-0.034768,0.479436,-0.0162934,0.479436,0.0012226,0.92653,0.000127411,0.92653,0,0
UME1,-0.0148238,0.817428,-0.00755599,0.817428,0.0176212,0.177349,0.00170938,0.177349,0,0
TUP1,-0.0450615,0.00108402,-0.00940967,0.00108402,0.0214278,0.532468,0.0303046,0.532468,0.120487,0
SWR1,0.0197838,0.136142,0.00230014,0.136142,-0.0226032,0.639819,-0.0114294,0.639819,0,0
SWI3,-0.0618897,0.164929,-0.0635352,0.164929,-0.0419985,0.00166582,-0.00728339,0.00166582,0,0
SWC3,0.0150322,0.755382,0.00455159,0.755382,0.0230655,0.0823115,0.00203681,0.0823115,0,0
SPT8,0.0113675,0.392023,0.00145121,0.392023,-0.0633823,0.187013,-0.046221,0.187013,0,0
SUS1,-0.122372,0.0191856,-0.0688164,0.0191856,-0.0370085,0.00504012,-0.00566043,0.00504012,0,0
SPT3,0.0217292,0.102379,0.00348641,0.102379,-0.0845385,0.0716189,-0.0776591,0.0716189,0,0
SPT7,-0.00475542,0.914602,-0.00494308,0.914602,-0.0263863,0.0484082,-0.00637593,0.0484082,0,0
CYC8,0.00748243,0.589509,0.0024982,0.589509,0.0406857,0.221416,0.0548641,0.221416,0,0
SWC5,-0.0685565,0.174989,-0.0328372,0.174989,0.00296421,0.822742,0.00032668,0.822742,0,0
SIR2,-0.0620084,1.97054E-06,-0.00707183,1.97054E-06,0.124425,0.0584492,0.162373,0.0584492,2.86094,0
SPT20,-0.0456204,0.218911,-0.0527699,0.218911,-0.013467,0.323395,-0.00324738,0.323395,0,0
SIR4,0.0638444,0.291428,0.0751088,0.291428,0.00633169,0.628786,0.000678066,0.628786,0,0
SNF2,-0.0942759,0.0567772,-0.106811,0.0567772,-0.00732335,0.580476,-0.00113368,0.580476,0,0
SNF11,-0.0718505,0.272645,-0.0343681,0.272645,0.0176477,0.176329,0.00147095,0.176329,0,0
SNF12,-0.111004,0.00990545,-0.120103,0.00990545,-0.0177512,0.185375,-0.00283202,0.185375,0,0
SNF5,-0.0340596,0.0101818,-0.00643553,0.0101818,-0.101278,0.0389446,-0.101191,0.0389446,0,0
SIR3,0.0651119,0.249977,0.0748137,0.249977,-0.040742,0.00192502,-0.0043261,0.00192502,0,0
SNF6,-0.0647647,0.0877604,-0.0541792,0.0877604,-0.00876063,0.519387,-0.00122268,0.519387,0,0
SIR1,-0.00458971,0.721238,-0.000337697,0.721238,0.148491,0.25341,0.131402,0.25341,0,0
SIF2,0.0130136,0.319483,0.00170416,0.319483,-0.236525,0.000146135,-0.134001,0.000146135,0,0.9907694
SIN3,-0.0260331,0.0543265,-0.00503274,0.0543265,-0.0610213,0.122159,-0.0579194,0.122159,0,0
SGF29,-0.0277422,0.03715,-0.00365455,0.03715,-0.00136061,0.976707,-0.000768054,0.976707,0,0
SGF73,-0.0274118,0.0395366,-0.00468383,0.0395366,0.0223876,0.629405,0.0181187,0.629405,0,0
SET3,-0.142496,0.0134957,-0.0649218,0.0134957,0.0409911,0.00178221,0.00487167,0.00178221,0,0
