,int,beta,beta_pval,sigma,adj_pval
GCN5,-0.0124550775394364,-0.0105141108815628,0.0164957674003073,0.342523224654713,1
BIM1,0.0135642639833717,-0.00507318675661407,0.0168623216568383,0.165829449743753,1
NUP60,0.0186953626067296,-0.00634201411017423,0.0180318548332887,0.209473145326156,1
EAF5,0.00211649462843296,-0.00514134599294494,0.0182264375478672,0.170101988608158,1
CLN2,-0.00103845359041825,0.00276707982610067,0.0184660060883105,0.0917375391954083,1
ELC1,0.00695142589323118,-0.00335189464208011,0.0189364855695375,0.111569443288811,1
SIN4,0.00655518780128853,-0.00908169771569797,0.0191237092878977,0.302762188659206,1
SOH1,-0.0112577256855754,0.00690582899343927,0.0206573192795976,0.233102353325422,1
RSC2,0.0325640487506989,-0.010724922858737,0.020667786840416,0.362043581195817,1
GCR2,0.00173680975240416,-0.00714314283582008,0.0212174933009334,0.242169913186754,1
MRE11,0.0199541735155846,-0.00546679934272412,0.021513437637241,0.185760546923852,1
STP3,0.00877669482527739,-0.00411946401906813,0.021603243849326,0.140074611893153,1
FKS1,0.030635653115829,-0.00744656740204522,0.0216988547152275,0.253391200856976,1
IPK1,0.0413777617431422,-0.01061005187777,0.0218112648372658,0.361346615122762,1
CSM1,0.0296195968040758,-0.00582023689550852,0.0218861793217788,0.198332414197189,1
SWI3,-0.00876853918265174,-0.00972297721929906,0.0220760764284447,0.331798660159646,1
BUD13,-0.00924840134963979,0.00584674668615688,0.0220798815601175,0.199527182213827,1
ADA2,-0.00155255888720928,-0.0102307623817373,0.0225676525889104,0.350410427670011,1
SAS2,-0.0164039606283136,-0.00536554642428324,0.0228452352199273,0.184150176723651,1
CLN3,0.00440424621821107,-0.00433453161876296,0.023305591615385,0.149265153827202,1
CTF4,0.017817610589508,-0.00686055789346813,0.0236235211361111,0.236794131669521,1
SSN3,0.0682027602825241,-0.014077769567407,0.0260138745083189,0.494020206297448,1
PHO85,0.0196561311751919,-0.0091570097058087,0.0262048646260654,0.321750821287436,1
EBS1,0.00361093013140999,-0.00354317969255246,0.0269414128874968,0.125104885541043,1
RGP1,0.0473316698872374,-0.0101315967349291,0.0269899518949777,0.357846661366271,1
VPS4,0.00075218653306779,-0.00485493278213013,0.0274869264332461,0.172030459364213,1
PEX5,0.00340574721015359,-0.00531767501951084,0.0275462102672693,0.188499466422602,1
CCE1,0.0211095026913618,-0.00583229753477855,0.027737309447023,0.206996068553128,1
IES5,0.0109977541100655,-0.00408112271112248,0.0279132964231219,0.145007916473129,1
RAD26,0.00719196900773355,-0.00390840077898882,0.0282776320515069,0.139193239444377,1
GEP3,0.0481161302416234,-0.00972906131706506,0.0284981746144233,0.346972658774723,1
TOP3,0.025568246282346,-0.00562395628190927,0.0287356219356414,0.200869660361127,1
NBP2,0.0165755141941588,-0.00604259942150741,0.0291306863069343,0.216354772326152,1
RFM1,0.0391197257044413,-0.00788824210048802,0.0291666988396425,0.282500990369674,1
ACO1,0.0563245130690485,-0.0129401923075306,0.0293886319371268,0.464062939727891,1
NPL3,0.0375152003701998,-0.012678570793042,0.0296175055733068,0.455321675972723,1
TUP1,0.155703289085178,-0.0191597514011797,0.0298081017755331,0.688882244286687,1
RAD55,0.00689290136238889,-0.003061890897685,0.0299483134568195,0.110183477577786,1
SRB5,-0.0117716617517902,0.00775387051527001,0.0300064809440242,0.279125259340302,1
DPB3,0.00656627605348208,-0.00359559365144504,0.0306363721331789,0.129928449047116,1
CDH1,0.00387933830950826,-0.0044008616996995,0.031264475312804,0.159623576520695,1
RTT107,0.00817401235086888,-0.00366808994229408,0.0323428413962236,0.133887439141171,1
YTA7,0.0289414359180745,-0.00859240238185786,0.032756504438119,0.314376066872539,1
PIN4,0.00275535955469083,-0.00401473794660045,0.0329702448962561,0.147069779636452,1
EDE1,0.00719469059661828,-0.00434127707474849,0.033199677135934,0.159239780156443,1
