,cor_c1,pval_cor_c1,beta_c1,pval_beta_c1,cor_c2,pval_cor_c2,beta_c2,pval_beta_c2,adjp_c1,adjp_c2,em_beta_1,em_beta_2,ratio_1,ratio_2
URE2,-7.35494e-04,9.55449e-01,-8.20348e-05,9.55449e-01,-9.15870e-02,9.42149e-02,-6.65152e-02,9.42149e-02, 0.00000000, 0.0000000,-3.64008e-04,-4.70109e-02,0.9134314,0.0865686
URM1,-7.47050e-03,5.68779e-01,-1.46553e-03,5.68779e-01, 5.92298e-02,3.18203e-01, 5.49139e-02,3.18203e-01, 0.00000000, 0.0000000,-1.62052e-03, 4.20213e-02,0.9076844,0.0923156
VAM6, 2.22701e-03,8.64696e-01, 1.94785e-04,8.64696e-01,-1.63422e-03,9.79489e-01,-8.87700e-04,9.79489e-01, 0.00000000, 0.0000000,-6.89831e-06, 1.18523e-03,0.9291514,0.0708486
VPS16,-7.12202e-03,5.93841e-01,-1.53094e-03,5.93841e-01, 2.86020e-02,5.24252e-01, 2.94257e-02,5.24252e-01, 0.00000000, 0.0000000,-5.87859e-04, 4.70981e-03,0.8450143,0.1549857
VPS24, 7.22187e-02,1.35791e-01, 3.72337e-02,1.35791e-01,-1.75116e-02,1.87011e-01,-1.39853e-03,1.87011e-01, 0.00000000, 0.0000000, 2.24375e-02,-1.69653e-03,0.1085090,0.8914910
VID28, 2.05484e-02,6.73455e-01, 1.16400e-02,6.73455e-01, 1.78963e-02,1.77318e-01, 1.51631e-03,1.77318e-01, 0.00000000, 0.0000000, 2.21374e-02, 1.22161e-03,0.1032240,0.8967760
VPS8, 6.80483e-03,6.07499e-01, 1.25156e-03,6.07499e-01,-5.97981e-02,2.28687e-01,-4.96882e-02,2.28687e-01, 0.00000000, 0.0000000, 1.64169e-03,-4.48909e-02,0.8709873,0.1290127
VPS27,-1.14659e-02,3.80179e-01,-1.38315e-03,3.80179e-01, 7.89416e-02,2.16347e-01, 5.33423e-02,2.16347e-01, 0.00000000, 0.0000000,-1.07942e-03, 1.57392e-02,0.9264218,0.0735782
VPS36, 6.48574e-03,6.25909e-01, 7.36493e-04,6.25909e-01,-3.31898e-02,4.80058e-01,-2.94402e-02,4.80058e-01, 0.00000000, 0.0000000, 7.72257e-04,-2.74126e-02,0.8949392,0.1050608
VPS3,-7.16326e-04,9.86664e-01,-5.47095e-04,9.86664e-01,-1.97740e-02,1.40408e-01,-2.92215e-03,1.40408e-01, 0.00000000, 0.0000000,-2.48357e-02,-2.69079e-03,0.1494303,0.8505697
VPS41, 8.60292e-03,5.11455e-01, 1.35319e-03,5.11455e-01,-4.67051e-02,4.36301e-01,-3.55454e-02,4.36301e-01, 0.00000000, 0.0000000, 1.93636e-03,-3.55713e-02,0.9057666,0.0942334
VPS9, 1.01354e-02,8.68824e-01, 6.69828e-03,8.68824e-01,-1.07486e-02,4.11541e-01,-1.21418e-03,4.11541e-01, 0.00000000, 0.0000000,-1.62899e-02,-1.52591e-03,0.0732219,0.9267781
VPS28,-3.47888e-03,7.92971e-01,-3.32897e-04,7.92971e-01,-1.65623e-02,7.37181e-01,-1.34938e-02,7.37181e-01, 0.00000000, 0.0000000,-2.10468e-04,-1.67402e-02,0.9069827,0.0930173
WSS1, 4.87485e-02,4.90851e-01, 2.51655e-02,4.90851e-01,-8.28256e-03,5.24554e-01,-8.35691e-04,5.24554e-01, 0.00000000, 0.0000000,-4.46227e-02,-1.06796e-03,0.0557238,0.9442762
YDR306C,-3.12290e-02,1.68833e-02,-2.43402e-03,1.68833e-02, 1.56873e-02,8.03519e-01, 6.74586e-03,8.03519e-01, 0.00000000, 0.0000000,-2.42237e-03,-5.56116e-03,0.9251100,0.0748900
YLR352W,-1.07331e-02,4.11934e-01,-9.96850e-04,4.11934e-01,-2.29073e-02,7.12612e-01,-9.53473e-03,7.12612e-01, 0.00000000, 0.0000000,-1.04895e-03,-1.81912e-02,0.9130419,0.0869581
ETP1,-4.21876e-02,4.26154e-01,-1.75218e-02,4.26154e-01,-2.73409e-02,3.81737e-02,-2.08572e-03,3.81737e-02, 0.00000000, 0.0000000,-9.73147e-03,-2.03320e-03,0.1052718,0.8947282
ARP8, 8.17680e-03,5.45282e-01, 1.26235e-03,5.45282e-01,-5.32830e-02,1.80611e-01,-3.55483e-02,1.80611e-01, 0.00000000, 0.0000000, 1.67187e-03,-2.00854e-02,0.8107259,0.1892741
YKU70,-6.87311e-03,6.06035e-01,-3.88151e-04,6.06035e-01, 8.49940e-02,6.44706e-02, 3.38480e-02,6.44706e-02, 0.00000000, 0.0000000,-5.12061e-04, 1.05764e-02,0.8832504,0.1167496
YKU80, 1.48985e-02,2.60663e-01, 9.85299e-04,2.60663e-01, 4.11879e-02,4.08419e-01, 1.64335e-02,4.08419e-01, 0.00000000, 0.0000000, 7.74048e-04, 5.18210e-03,0.8914417,0.1085583
UBP8,-1.20160e-01,4.19378e-02,-4.84211e-02,4.19378e-02,-4.71689e-02,3.18586e-04,-5.37216e-03,3.18586e-04, 0.00000000, 0.6522959,-2.96714e-02,-5.69408e-03,0.1289245,0.8710755
YAF9,-1.25726e-01,5.36646e-03,-7.16092e-02,5.36646e-03, 2.18367e-02,1.01722e-01, 2.63057e-03,1.01722e-01, 0.00000000, 0.0000000,-3.14342e-02, 2.26270e-03,0.1521692,0.8478308
VPS72,-8.30120e-02,1.04789e-01,-3.70715e-02,1.04789e-01, 1.06726e-02,4.19490e-01, 1.07303e-03,4.19490e-01, 0.00000000, 0.0000000,-1.28897e-02, 1.59484e-03,0.1208713,0.8791287
VPS71, 2.62731e-03,8.42609e-01, 2.76912e-04,8.42609e-01,-3.36257e-02,5.06262e-01,-1.61594e-02,5.06262e-01, 0.00000000, 0.0000000,-3.73721e-04,-2.87671e-04,0.8697092,0.1302908
UME1,-1.27902e-02,8.41799e-01,-6.49903e-03,8.41799e-01, 1.70857e-02,1.90924e-01, 1.65663e-03,1.90924e-01, 0.00000000, 0.0000000,-2.84257e-03, 1.73913e-03,0.0801204,0.9198796
TUP1, 2.25834e-02,5.23319e-01, 3.29747e-02,5.23319e-01,-4.11099e-02,2.74353e-03,-8.83690e-03,2.74353e-03, 0.00000000, 0.0000000,-7.25286e-02,-8.98065e-03,0.1720030,0.8279970
SWR1,-2.45329e-02,6.31762e-01,-1.32127e-02,6.31762e-01, 1.83076e-02,1.66117e-01, 2.18220e-03,1.66117e-01, 0.00000000, 0.0000000,-9.81796e-03, 2.56727e-03,0.1166787,0.8833213
