,soft_cor_c1,soft_beta_c1,soft_pval_c1,soft_cor_c2,soft_beta_c2,soft_pval_c2,hard_cor_c1,hard_beta_c1,hard_pval_c1,hard_cor_c2,hard_beta_c2,hard_pval_c2,soft_adjp_c1,soft_adjp_c2,hard_adjp_c1,hard_adjp_c2,ratio_1,ratio_2
MSH2,-5.99199e-02,-6.17248e-03,8.76981e-06, 2.22204e-02, 1.96055e-02,1.06314e-02,-5.33809e-02,-5.82394e-03,4.68314e-05, 4.64509e-02, 3.30801e-02,4.25117e-01, 2.2639185, 0.0000000, 1.536371, 0.0000000,0.9268646,0.0731354
MSH1, 1.07645e-02, 3.76258e-03,3.85529e-01,-5.78228e-02,-4.79450e-03,1.89535e-04, 4.60243e-02, 2.09248e-02,2.47945e-01,-5.23484e-02,-5.22879e-03,1.06537e-04, 0.0000000, 0.9292190, 0.000000, 1.1794089,0.1892794,0.8107206
MRT4,-2.56156e-02,-2.00037e-03,7.22335e-01, 1.82308e-02, 1.84796e-03,1.85192e-01, 6.88667e-03, 3.83158e-03,8.91750e-01, 1.74512e-02, 1.91869e-03,1.87181e-01, 0.0000000, 0.0000000, 0.000000, 0.0000000,0.1116316,0.8883684
MSC1,-3.72405e-02,-7.69922e-03,1.14703e-01,-6.00117e-03,-5.57414e-04,6.56357e-01,-1.59546e-02,-8.14023e-03,7.86745e-01,-6.04697e-03,-5.97808e-04,6.44725e-01, 0.0000000, 0.0000000, 0.000000, 0.0000000,0.0884772,0.9115228
MRN1,-2.69095e-03, 5.04492e-05,9.69810e-01,-2.99341e-02,-2.12577e-02,9.45410e-04,-1.17701e-03,-1.23083e-04,9.29598e-01,-7.36613e-02,-4.51845e-02,1.10745e-01, 0.0000000, 0.2312883, 0.000000, 0.0000000,0.8812183,0.1187817
MRC1,-9.99804e-03,-1.05137e-02,1.05196e-02,-2.43143e-01,-2.02998e-02,1.89627e-75,-2.32859e-02,-8.86306e-03,6.28149e-01,-2.28731e-01,-2.01860e-02,3.18658e-68, 0.0000000,71.9290082, 0.000000,64.7035829,0.1213940,0.8786060
MMS4,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,        NA,        NA,       NA,        NA,0.9543770,0.0456230
MRE11,-2.15270e-02,-2.27349e-03,1.07393e-01,-7.44374e-02,-1.29648e-02,5.80863e-03,-1.48688e-02,-1.64506e-03,2.66312e-01, 1.69142e-03, 7.35798e-04,9.69426e-01, 0.0000000, 0.0000000, 0.000000, 0.0000000,0.8513403,0.1486597
MMS22,-1.76813e-02,-3.05901e-03,1.47823e-01,-8.04428e-02,-2.55781e-02,6.75471e-05,-1.87860e-02,-3.09725e-03,1.65584e-01,-1.87597e-03,-9.44841e-04,9.61692e-01, 0.0000000, 1.3773014, 0.000000, 0.0000000,0.8208379,0.1791621
MMS1,-3.34349e-02,-3.36489e-03,1.45820e-02, 4.02022e-03, 4.91821e-03,2.72115e-01,-3.10273e-02,-3.36648e-03,1.84380e-02, 6.34229e-02, 2.96398e-02,2.44884e-01, 0.0000000, 0.0000000, 0.000000, 0.0000000,0.8901163,0.1098837
