ID,Transcription responsiveness
YCR010C,2973.0903360375
YCR011C,1387.5773397136
YCR012W,3040.5313063645
YCR013C,
YCR014C,778.2993381235
YCR015C,725.9308525797
YCR016W,1416.9374085466
YCR017C,1014.3618871131
YCR018C,
YCR018C-A,
YCR019W,645.4007865252
YCR020C,901.0728165444
YCR020CA,971.3044454334
YCR020C-A,
YCR020WB,295.208970953
YCR020W-B,
YCR021C,8319.2907648402
YCR022C,
YCR023C,1087.5231891192
YCR024C,642.3825404959
YCR024CA,1245.3178602911
YCR024C-A,
YCR024C-B,
YCR025C,
YCR026C,650.1591822317
YCR027C,596.3838334554
YCR028C,893.7952539604
YCR028CA,273.9812241135
YCR028C-A,
YCR029C,
YCR029C-A,
YCR030C,1427.8515144836
YCR031C,1282.0223868053
YCR032W,1512.488799585
YCR033W,889.84414413
YCR034W,1997.056761392
YCR035C,1139.0788151929
YCR036W,949.1884328388
YCR037C,903.1935563019
YCR038C,
YCR038W-A,
YCR039C,
YCR040W,
YCR041W,
YCR042C,984.3896791145
YCR043C,1153.7895904787
YCR044C,813.8391388472
YCR045C,2554.8595309149
YCR045W-A,
YCR046C,1202.0189816024
YCR047C,1318.7862419512
YCR047W-A,
YCR048W,1069.847462465
YCR049C,
YCR050C,
YCR051W,1499.1255645692
YCR052W,837.3025085733
YCR053W,1013.791739749
YCR054C,775.3317717707
YCR055C,
YCR056W,
YCR057C,1741.0357647672
YCR058C,
YCR059C,1160.5988666291
YCR060W,969.1907047704
YCR061W,2174.383258246
YCR062W,
YCR063W,1061.6349161374
YCR064C,
YCR065W,1648.2087304352
YCR066W,765.4394887804
YCR067C,737.5515276864
YCR068W,1363.551017453
YCR069W,1049.5573293394
YCR070W,
YCR071C,975.6544702324
YCR072C,2217.8659312263
YCR073C,990.4923996702
YCR073WA,544.792209564
YCR073W-A,
YCR074C,
YCR075C,984.1425949408
YCR075W-A,
YCR076C,763.7495277948
YCR077C,959.6374686477
YCR079W,4189.6742257345
YCR080W,
YCR081C-A,
YCR081W,740.1889461677
YCR082W,944.2963569001
YCR083W,1149.4798508243
YCR084C,1300.6437210078
YCR085W,
YCR086W,871.764120103
YCR087C-A,
YCR087W,
YCR088W,2019.6851775054
YCR089W,10809.5434346187
YCR090C,969.2976822415
YCR091W,1454.7100099705
YCR092C,540.4754669508
YCR093W,1056.8858610664
YCR094W,545.1185696422
YCR095C,676.3037638534
YCR095W-A,
YCR096C,
YCR097W,368.6162299839
YCR097WA,
YCR097W-A,
YCR097WB,
YCR098C,2086.7991701201
YCR099C,
YCR100C,1518.8896659651
YCR101C,
YCR102C,2151.8069947385
YCR102WA,27159.5834039469
YCR102W-A,
YCR103C,
YCR104W,
YCR105W,1206.8599348837
YCR106W,1696.7250188518
YCR107W,
YCR108C,
YDL001W,812.7934824765
YDL002C,667.7426855998
YDL003W,3634.4603902882
YDL004W,1617.5859668543
YDL005C,808.3372572109
YDL006W,663.504632378
YDL007C-A,
YDL007W,1072.9353921397
YDL008W,1212.2473554047
YDL009C,1101.8528146893
YDL010W,1187.5142072632
YDL011C,921.2767321607
YDL012C,910.155187034
YDL013W,790.6999111106
YDL014W,2820.1693654561
YDL015C,936.4607765141
YDL016C,839.0166852971
YDL017W,737.8302617664
YDL018C,1272.6608394452
YDL019C,1263.7367006612
YDL020C,2419.9479784838
YDL021W,3424.8264487616
YDL022C-A,
YDL022W,4997.5256499036
YDL023C,4855.0241904701
YDL024C,2650.032760584
YDL025C,2033.4913571612
YDL025W-A,
YDL026W,
YDL027C,1216.9513385443
YDL028C,1147.8711460394
YDL029W,1231.6553855533
YDL030W,768.3598191126
YDL031W,
YDL032W,978.3943215172
YDL033C,787.9205278718
YDL034W,751.5299011544
YDL035C,1660.888206127
YDL036C,995.7366208906
YDL037C,
YDL038C,
YDL039C,4880.1859005686
YDL040C,824.8913036681
YDL041W,827.1415101156
YDL042C,1645.9549431406
YDL043C,1058.1247931954
YDL044C,534.6041856049
