ID,Replication time
YDR081C,33.88
YDR082W,33.64
YDR083W,33.44
YDR084C,33.16
YDR085C,32.97
YDR086C,32.86
YDR087C,32.5
YDR088C,32.21
YDR089W,31.42
YDR090C,29.49
YDR091C,28.72
YDR092W,28.71
YDR093W,28.78
YDR094W,29.38
YDR095C,29.42
YDR096W,29.42
YDR097C,29.53
YDR098C,29.63
YDR098C-A,
YDR098C-B,
YDR099W,31.43
YDR100W,32.37
YDR101C,34.05
YDR102C,34.05
YDR103W,34.68
YDR104C,37.26
YDR105C,37.81
YDR106W,37.81
YDR107C,38.62
YDR108W,38.62
YDR109C,38.75
YDR110W,38.75
YDR111C,37.8
YDR112W,37.8
YDR113C,36.93
YDR114C,36.93
YDR115W,36.93
YDR116C,35.79
YDR117C,34.38
YDR118W,34.38
YDR118W-A,32.89
YDR119W,32.89
YDR119W-A,31.13
YDR120C,30.3
YDR121W,29.97
YDR122W,29.69
YDR123C,28.72
YDR124W,28.64
YDR125C,28.62
YDR126W,28.62
YDR127W,28.79
YDR128W,29.65
YDR129C,32.01
YDR130C,32.73
YDR131C,34.17
YDR132C,35.25
YDR133C,35.62
YDR134C,
YDR135C,34.87
YDR136C,34.87
YDR137W,34.87
YDR138W,34.11
YDR139C,33.67
YDR140W,33.67
YDR141C,32.64
YDR142C,32.04
YDR143C,31.2
YDR144C,30.18
YDR145W,29.65
YDR146C,28.25
YDR147W,28.21
YDR148C,28.81
YDR149C,29.18
YDR150W,29.18
YDR151C,33.45
YDR152W,33.99
YDR153C,35.01
YDR154C,35.44
YDR155C,35.44
YDR156W,35.81
YDR157W,35.81
YDR158W,36.11
YDR159W,36.33
YDR160W,36.56
YDR161W,36.88
YDR162C,37.2
YDR163W,37.35
YDR164C,37.6
YDR165W,37.67
YDR166C,36.99
YDR167W,36.61
YDR168W,36.17
YDR169C,34.58
YDR169C-A,33.98
YDR170C,30.69
YDR170W-A,
YDR171W,31.29
YDR172W,32.19
YDR173C,33.27
YDR174W,33.27
