ID,Noise YEPD
YDR194W-A,
YDR195W,-1.0304436949
YDR196C,4.1877449582
YDR197W,
YDR198C,
YDR199W,
YDR200C,
YDR201W,
YDR202C,
YDR203W,
YDR204W,
YDR205W,-2.3174012872
YDR206W,
YDR207C,
YDR208W,
YDR209C,
YDR210C-C,
YDR210C-D,
YDR210W,2.0312599293
YDR210W-A,
YDR210W-B,
YDR211W,-1.0659671052
YDR212W,
YDR213W,
YDR214W,0.6267757071
YDR215C,
YDR216W,
YDR217C,
YDR218C,
YDR219C,-1.1018712347
YDR220C,
YDR221W,-3.9074292807
YDR222W,
YDR223W,
YDR224C,
YDR225W,
YDR226W,-2.5351494654
YDR227W,-1.6198504387
YDR228C,
YDR229W,4.7439483291
YDR230W,
YDR231C,
YDR232W,6.3817697393
YDR233C,1.1043020188
YDR234W,4.4022113657
YDR235W,
YDR236C,
YDR237W,
YDR238C,-2.9698801985
YDR239C,-1.4424012872
YDR240C,
YDR241W,
YDR242W,
YDR243C,
YDR244W,
YDR245W,-2.1213977532
YDR246W,0.0516756805
YDR246W-A,
YDR247W,0.0417125811
YDR248C,
YDR249C,
YDR250C,
YDR251W,
YDR252W,
YDR253C,
YDR254W,
YDR255C,
YDR256C,
YDR257C,-0.4313618965
YDR258C,7.466578548
YDR259C,
YDR260C,
YDR261C,0.36625
YDR261C-C,
YDR261C-D,
YDR261W-A,
YDR261W-B,
YDR262W,-2.6921009316
YDR263C,
YDR264C,-0.4165256373
YDR265W,
YDR266C,-1.0603422069
YDR267C,
YDR268W,
YDR269C,
YDR270W,0.4798364947
YDR271C,
YDR272W,-0.2504419575
YDR273W,
YDR274C,
YDR275W,
YDR276C,
YDR277C,
YDR278C,
YDR279W,
YDR280W,1.6233138221
YDR281C,
YDR282C,
YDR283C,
YDR284C,
YDR285W,
YDR286C,
YDR287W,
YDR288W,
YDR289C,
YDR290W,
YDR291W,
YDR292C,
YDR293C,2.4459211108
YDR294C,-1.0512122128
YDR295C,
YDR296W,1.0781527006
YDR297W,0.3875866601
YDR298C,10.8792836104
YDR299W,-0.435407833
YDR300C,-0.5885480072
YDR301W,
YDR302W,-1.183295114
YDR303C,
YDR304C,3.8490638131
YDR305C,
YDR306C,
YDR307W,0.3740505637
YDR308C,
YDR309C,4.6205025899
YDR310C,
YDR311W,-2.1249260193
YDR312W,3.9372147133
YDR313C,
YDR314C,
YDR315C,
YDR316W,
YDR316W-A,
YDR316W-B,
YDR317W,
YDR318W,
YDR319C,
YDR320C,0.1132647995
YDR320C-A,0.1240638131
YDR320W-B,
YDR321W,
YDR322CA,
YDR322C-A,1.8642703574
YDR322W,0.0238541246
YDR323C,
YDR324C,-1.090429444
YDR325W,
YDR326C,
YDR327W,
YDR328C,-1.4950750839
YDR329C,6.59625
YDR330W,-0.058
YDR331W,-0.9031332405
YDR332W,
YDR333C,
YDR334W,
YDR335W,0.0447614106
YDR336W,
YDR337W,
YDR338C,
YDR339C,
YDR340W,
YDR341C,
YDR342C,
YDR343C,8.8315627789
YDR344C,
YDR345C,4.7293901104
YDR346C,-2.1969700722
YDR347W,
YDR348C,
YDR349C,
YDR350C,
YDR351W,
YDR352W,3.6598037018
YDR353W,-0.9233098211
YDR354C-A,
YDR354W,3.9936022468
YDR355C,
YDR356W,
YDR357C,
YDR358W,2.7841632247
YDR359C,
YDR360W,
YDR361C,-0.7054600879
YDR362C,
YDR363W,
YDR363WA,
YDR363W-A,-2.3242141414
YDR364C,
YDR365C,9.5239264579
YDR365W-B,
YDR366C,
